rank	size	normalized	example_raw	example_geo	example_series
11	14	tterns of surface markers proteins into 96 well plates containing lysis buffer single cell cdna libraries were prepared using the smart seq v2 protocol with the following	tterns of surface markers/proteins into 96 well plates containing Lysis buffer.,Single-cell cDNA libraries were prepared using the Smart-seq v2 protocol with the following 	GSM5367258	GSE176509
12	13	to construct single cell libraries from polya tailed rna we applied massively parallel single cell rna s	To construct single-cell libraries from polyA-tailed RNA, we applied massively parallel single-cell RNA s	GSM2749550	GSE102934
13	12	0bp paried end on a novaseq6000 using the s4 flowcell 10x genomics cells a single cell suspension was prepared according to manufacturer s instruction for chromium v3	0bp paried-end) on a Novaseq6000 using the S4 flowcell.   10X Genomics cells: A single cell suspension was prepared according to manufacturer's instruction for Chromium v3 	GSM5480594	GSE180954
14	12	iences into 96 well plates containing 3 âµl lysis buffer using a 70 âµm nozzle single cell cdna libraries were made using the smartseq v2 protocol picelli et al 2014 w	iences) into 96 well plates containing 3 ÂµL Lysis buffer using a 70 Âµm nozzle,Single cell cDNA libraries were made using the SMARTSeq v2 protocol (Picelli et al., 2014) w	GSM5384100	GSE178209
15	11	external rna spike in transcripts ercc spike in mix ambion were added to all single cell lysis reactions at a dilution of 1 40 000 libraries were prepared using illumin	External RNA spike-in transcripts (ERCC spike-in Mix, Ambion) were added to all single cell lysis reactions at a dilution of 1:40,000.,Libraries were prepared using Illumin	GSM2170474	GSE81252
16	11	fluidigm c1 single cell platform rna libraries were prepared for sequencing using standard illumina prot	Fluidigm C1 single cell platform,RNA libraries were prepared for sequencing using standard Illumina prot	GSM4113209	GSE138544
17	11	fluidigm c1 was used to capture single cell for mrna sequencing catalog 100 5760 which is microfluidic ifcs designed t	Fluidigm C1 was used to capture single cell for mRNA sequencing.   Catalog # 100-5760, which is microfluidic IFCs designed t	GSM2153021	GSE81475
18	11	ls were dissociated and captured and lysed using 10x genomics chromium next gem single cell 3 v3 1 kit mrna was reverse transcribed to cdna and cdna pre amplification wa	ls were dissociated and captured and lysed using 10X Genomics Chromium Next GEM Single Cell 3' v3.1 Kit. mRNA was reverse transcribed to cDNA, and cDNA pre-amplification wa	GSM5601747	GSE184943
19	11	the c1 single cell auto prep ifc fluidigm system was employed for single cell rna seq single cel	The C1 Single-Cell Auto Prep IFC (Fluidigm) system was employed for single-cell RNA-seq. Single cel	GSM3313686	GSE117872
20	11	the c1 single cell auto prep system fluidigm was employed to perform smarter clontech wta on up	The C1 Single-cell Auto Prep System (Fluidigm) was employed to perform SMARTer (Clontech) WTA on up	GSM2632850	GSE99095
21	10	ercc exfold rna spike in recombinant rnase inhibitor 2313b takara clontech single cell sequencing was performed using smartseq2 rna was converted into cdna using smar	ERCC ExFold RNA spike-in, Recombinant RNase Inhibitor (2313B, Takara Clontech). Single-cell sequencing was performed using SmartSeq2.,RNA was converted into cDNA using SMAR	GSM3739391	GSE130473
22	10	single cells were sorted into 96 well plates containing tcl buffer full length single cell rna seq libraries were prepared using the smart seq2 protocol cdna was fragment	single cells were sorted into 96 well plates containing TCL buffer.,Full-length single cell RNA-seq libraries were prepared using the SMART-seq2 protocol. cDNA was fragment	GSM4922181	GSE161896,GSE161901
23	9	magnetic beads invitrogen cat 65011 to separate the nucleus and rna of one single cell we added 0 2 l magnetic beads to each single cell lysis buffer then the singl	magnetic beads (Invitrogen, cat. #65011) to separate the nucleus and RNA of one single cell. We added 0.2 ?L magnetic beads to each single-cell lysis buffer. Then the singl	GSM2697150	GSE97693
24	9	sequencing library construction performed according to the smart seq2 protocol single cell rna libraries were prepared for sequencing using standard illumina protocols	sequencing library construction performed according to the Smart-seq2 protocol.,Single cell RNA libraries were prepared for sequencing using standard Illumina protocols || 	GSM5871802	GSE196330
25	9	the smartseq2 protocol and stored at 80c no extraction protocol was performed single cell libraries for rnaseq were prepared using smartseq2 protocol picelli et al nat	the SmartSeq2 protocol and stored at -80C. No extraction protocol was performed,Single cell libraries for RNAseq were prepared using SmartSeq2 protocol (Picelli et al., Nat	GSM2689293	GSE100618
26	8	for single cell analysis cryopreserved cells were rapidly thawed in a water bath in continuous	For single cell analysis, cryopreserved cells were rapidly thawed in a water bath in continuous 	GSM2462244	GSE85534
27	8	single cell rna seq was performed according to the smart seq2 protocol as reported previousl	Single-cell RNA-seq was performed according to the Smart-seq2 protocol as reported previousl	GSM3661609	GSE128060
