"cluster_id","original_k","qc_final_k","original_n_studies","qc_final_n_studies","reason","anchor_key"
"group_L4_995b0d48",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|STR:primary_colon_cancer|colon"
"group_L4_5884d915",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:primary_colon_cancer_cell|colon"
"group_L4_e4b7781e",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:primary_tumor|colon"
"group_L4_e43d491e",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:prostate_cancer_cell_line|prostate"
"group_L4_4d2bab23",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:prostate_cancer_cells|prostate"
"group_L4_c31e9d88",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:prostate_cancer_organoid|Prostate"
"group_L4_7daaca73",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:thyroid_cancer_cells|thyroid"
"group_L4_ef5204ee",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:tumor_tissue|Tumor tissue"
"group_L4_913445f4",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","environmental|CHEBI:15379|breast"
"group_L4_019c5efb",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","environmental|CHEBI:16469|breast"
"group_L4_4fa44a7d",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","environmental|CHEBI:86158|skin"
"group_L4_b5f9ab82",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","environmental|MeSH:D014466|skin"
"group_L4_cdffd824",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","environmental|MeSH:D014612|blood"
"group_L4_495fc876",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","environmental|STR:asthma|lung"
"group_L4_87b7612d",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","environmental|STR:castration|prostate"
"group_L4_17816b1d",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","environmental|STR:contact inhibition|skin"
"group_L4_276c3cb1",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","environmental|STR:exercise|muscle"
"group_L4_c9a8fd9c",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","environmental|STR:hypertension|heart"
"group_L4_6afacb39",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","environmental|STR:normoxia|lung"
"group_L4_be290b3d",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","environmental|STR:radiation|brain"
"group_L4_1718e1f6",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","environmental|STR:smoking|lung"
"group_L4_31256779",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","environmental|STR:tobacco smoke|bronchus"
"group_L4_4a037209",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","environmental|STR:untrained|muscle tissue"
"group_L4_f312907f",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","environmental|STR:vaccination|blood"
"group_L4_7a5c1c13",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","genetic_knockdown|CHEBI:16635|skin"
"group_L4_2e0e423d",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","genetic_knockdown|CHEBI:17195|prostate"
"group_L4_642d4ed8",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","genetic_knockdown|CHEBI:27388|colon"
"group_L4_1002e2c4",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","genetic_knockdown|CHEBI:50845|lung"
"group_L4_1151f763",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","genetic_knockdown|HGNC:10000|prostate"
"group_L4_cbbb4774",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","genetic_knockdown|HGNC:10768|bone marrow"
"group_L4_8ea8f6e1",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","genetic_knockdown|HGNC:11200|liver"
"group_L4_637bda29",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","genetic_knockdown|HGNC:11304|bone marrow"
"group_L4_127f7579",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","genetic_knockdown|HGNC:18182|skin"
"group_L4_ba8b215e",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","genetic_knockdown|HGNC:3478|prostate"
"group_L4_446fcf77",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","genetic_knockdown|HGNC:6407|colorectal"
"group_L4_ff6702b2",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","genetic_knockdown|MeSH:D011944|prostate"
"group_L4_c97a732a",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","genetic_knockout|CHEBI:28262|mammary gland"
"group_L4_9952e65e",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","genetic_knockout|HGNC:1097|skin"
"group_L4_23787b6c",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","genetic_knockout|HGNC:11998|colon"
"group_L4_0b125ad4",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","genetic_knockout|HGNC:3236|lung"
"group_L4_7b77daa5",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","genetic_overexpression|CHEBI:50845|kidney"
"group_L4_2d991130",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","genetic_overexpression|HGNC:10000|lung"
"group_L4_3875fbc1",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","genetic_overexpression|HGNC:5330|skin"
"group_L4_451d0812",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","genetic_overexpression|HGNC:613|brain"
"group_L4_60a0a27d",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","genetic_overexpression|HGNC:6442|pancreas"
"group_L4_8cf4e61b",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","genetic_overexpression|HGNC:6827|lung"
"group_L4_0f4df8cc",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","genetic_overexpression|STR:empty vector|lung"
"group_L4_7ac831a1",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","mechanical|STR:% mechanical strain|lung"
"group_L4_dda8a314",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","mechanical|UNK|brain"
"group_L4_d0eccb1a",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","pathogen_or_aggregate_exposure|CHEBI:17105|peripheral blood"
"group_L4_3ce6e25f",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","pathogen_or_aggregate_exposure|CHEBI:17120|blood"
"group_L4_5e7a19fe",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","pathogen_or_aggregate_exposure|CHEBI:84491|skin"
"group_L4_3b8583a4",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","pathogen_or_aggregate_exposure|NCBITaxon:10407|liver"
"group_L4_7059e6f2",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","pathogen_or_aggregate_exposure|NCBITaxon:12814|lung"
"group_L4_274f387d",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","pathogen_or_aggregate_exposure|NCBITaxon:1773|blood"
"group_L4_7760a8ba",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","pathogen_or_aggregate_exposure|STR:hepatitis c virus|liver"
"group_L4_9bf25d5b",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","pathogen_or_aggregate_exposure|STR:malaria|blood"
"group_L4_2ec66bb3",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","pathogen_or_aggregate_exposure|STR:sars-cov-2|lung"
"group_L4_90a51bbc",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:133021|bone marrow"
"group_L4_cd6473ac",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:134200|breast"
"group_L4_fff0a02f",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:134201|prostate"
"group_L4_c310b3f2",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:134203|prostate"
"group_L4_f23bc95a",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:134207|pancreas"
"group_L4_c08d717e",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:134210|prostate"
"group_L4_097661ef",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:134213|prostate"
"group_L4_b5b52790",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:134223|lung"
"group_L4_81d191c2",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:134226|lung"
"group_L4_44d00346",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:136020|blood"
"group_L4_17f5cb73",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:136056|blood"
"group_L4_759684c6",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:137113|breast"
"group_L4_25ceb424",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:145535|PDX"
"group_L4_a2b3319f",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:16330|prostate"
"group_L4_79059430",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:16515|blood"
"group_L4_143c92cc",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:16810|prostate"
"group_L4_f9998c47",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:17135|breast"
"group_L4_516fa196",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:17192|prostate"
"group_L4_aac58139",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:17195|breast"
"group_L4_c7ae94f7",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:175901|pancreas"
"group_L4_c173cb9f",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:17952|bone marrow"
