"cluster_id","name","kind","k","n_studies","homog","top_theme","name_ok","cls","role"
"group_L3_9567eaff",NA,"environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_95747449","flavanone","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9592f7c5","multiple sclerosis","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9597fb03","epoxyoctadecenoate","cytokine_stim",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_95abf4ab",NA,"disease_vs_normal",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_95e48b3b","Prostatic Neoplasms","disease_vs_normal",13,13,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L3_95f43f0d",NA,"small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_960c32c9","fc","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_96293a1f",NA,"genetic_overexpression",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_962b592d",NA,"disease_vs_normal",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_962c9b12","breast cancer mcf7 cells","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_966d8484",NA,"genetic_overexpression",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_96739bed","Tuberculosis","pathogen_or_aggregate_exposure",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_967614e8","renal clear cell carcinoma","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_969615f6","TB Negative","environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_96a8b092",NA,"differentiation",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_96d8a0a9",NA,"disease_vs_normal",13,13,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_96d95fcb","Carcinoma, Non-Small-Cell Lung","disease_vs_normal",6,6,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L3_96ed1ff5","carnitine","pathogen_or_aggregate_exposure",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_96ff89c5","Human immunodeficiency virus 1","pathogen_or_aggregate_exposure",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_972b4975",NA,"genetic_knockout",7,7,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9744f366",NA,"differentiation",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_97642d02",NA,"pathogen_or_aggregate_exposure",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_978376f1","1-(β-D-galactosyl)-2-(2-hydroxyacyl)sphingosine","cytokine_stim",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_978f84d9","Olmesartan medoxomil","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_97aa83a9",NA,"small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
