"cluster_id","name","kind","k","n_studies","homog","top_theme","name_ok","cls","role"
"pair_L4_8ce5ee0c","4 hours at 37c-ire1/xbp1s activator","small_molecule",1,1,NA,"human embryonic kidney__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8cf7a9ec",NA,"environmental",1,1,NA,"vein__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8cfae6d1",NA,"environmental",1,1,NA,"Peripheral blood cells__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8d0117f8","LW-LA","environmental",1,1,NA,"nasal epithelium__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8d0b6eba",NA,"genetic_overexpression",1,1,NA,"Fallopian tube__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8d11880b","Trichomonas tenax","pathogen_or_aggregate_exposure",1,1,NA,"lung__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8d24f767","lung tumor (non-small cell lung cancer)","disease_vs_normal",1,1,NA,"lung__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8d2ab285","aafa mutant","pathogen_or_aggregate_exposure",1,1,NA,"Intestine__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8d3c2faf","lnps","small_molecule",1,1,NA,"peripheral blood__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8d5553d1","challenge","environmental",1,1,NA,"whole blood__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8d795592","Aeromonas veronii","pathogen_or_aggregate_exposure",1,1,NA,"intestinal epithelial cells__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8d8747b4","vpa-1mm","small_molecule",1,1,NA,"pancreatic ductal epithelioid carcinoma__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8d95e016","cervical cancer iia","disease_vs_normal",1,1,NA,"cervix__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8da551cf",NA,"crispra_activation",1,1,NA,"bronchial__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
