"entity","kind","level","n_members","n_override","k_membri","k_eff_pre","k_eff_post","gain"
"MeSH:D054198","disease_vs_normal",4,3,2,22,3,4,1
"MeSH:D006528","environmental",3,2,1,21,3,4,1
"MeSH:D015470","environmental",3,3,2,8,3,4,1
"NCBITaxon:10407","pathogen_or_aggregate_exposure",4,3,2,14,3,4,1
"NCBITaxon:1773","pathogen_or_aggregate_exposure",4,5,4,18,3,4,1
"NCBITaxon:1773","pathogen_or_aggregate_exposure",3,3,2,6,3,4,1
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,2,1,4,3,4,1
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,15,14,7,3,4,1
"NCBITaxon:487","pathogen_or_aggregate_exposure",4,4,3,4,3,4,1
"NCBITaxon:487","pathogen_or_aggregate_exposure",3,4,3,4,3,4,1
"NCBITaxon:487","pathogen_or_aggregate_exposure",2,4,3,4,3,4,1
"CHEBI:15866","small_molecule",4,3,2,4,3,4,1
"CHEBI:16469","small_molecule",3,2,1,10,3,4,1
"CHEBI:16469","small_molecule",3,3,2,5,3,4,1
"CHEBI:28748","small_molecule",4,8,7,11,3,4,1
"CHEBI:46345","small_molecule",4,5,4,8,3,4,1
"CHEBI:85993","small_molecule",4,2,1,9,3,4,1
"HGNC:11766","cytokine_stim",4,3,2,5,2,3,1
"HGNC:11892","cytokine_stim",3,3,2,4,2,3,1
"HGNC:6001","cytokine_stim",4,3,2,12,2,3,1
"HGNC:6001","cytokine_stim",3,2,1,7,2,3,1
"MeSH:D001943","disease_vs_normal",3,2,1,4,2,3,1
"MeSH:D002289","disease_vs_normal",2,2,1,4,2,3,1
"MeSH:D002289","disease_vs_normal",1,2,1,4,2,3,1
"MeSH:D002289","disease_vs_normal",0,2,1,4,2,3,1
"MeSH:D002311","disease_vs_normal",2,2,1,3,2,3,1
"MeSH:D002311","disease_vs_normal",1,2,1,3,2,3,1
"MeSH:D002311","disease_vs_normal",0,2,1,3,2,3,1
"MeSH:D003093","disease_vs_normal",4,4,3,10,2,3,1
"MeSH:D003093","disease_vs_normal",4,3,2,10,2,3,1
"MeSH:D003093","disease_vs_normal",3,4,3,9,2,3,1
"MeSH:D003093","disease_vs_normal",3,3,2,10,2,3,1
"MeSH:D003424","disease_vs_normal",4,2,1,4,2,3,1
"MeSH:D008180","disease_vs_normal",4,4,3,4,2,3,1
"MeSH:D008180","disease_vs_normal",3,4,3,4,2,3,1
"MeSH:D008180","disease_vs_normal",2,2,1,3,2,3,1
"MeSH:D008180","disease_vs_normal",2,3,2,3,2,3,1
"MeSH:D008180","disease_vs_normal",1,2,1,3,2,3,1
"MeSH:D008180","disease_vs_normal",0,2,1,3,2,3,1
"MeSH:D008180","disease_vs_normal",1,3,2,3,2,3,1
"MeSH:D008180","disease_vs_normal",0,3,2,3,2,3,1
"MeSH:D013964","disease_vs_normal",4,3,2,6,2,3,1
"MeSH:D015179","disease_vs_normal",4,8,7,27,2,3,1
"MeSH:D015179","disease_vs_normal",3,4,3,6,2,3,1
"MeSH:D015212","disease_vs_normal",3,3,2,7,2,3,1
"MeSH:D054198","disease_vs_normal",3,3,2,6,2,3,1
"MeSH:D011839","environmental",3,2,1,3,2,3,1
"MeSH:D016640","environmental",4,2,1,3,2,3,1
"MeSH:D016640","environmental",3,2,1,3,2,3,1
"HGNC:29277","genetic_overexpression",4,3,2,4,2,3,1
"HGNC:29277","genetic_overexpression",3,3,2,4,2,3,1
"HGNC:29277","genetic_overexpression",2,3,2,4,2,3,1
"HGNC:29277","genetic_overexpression",1,3,2,4,2,3,1
"HGNC:29277","genetic_overexpression",0,3,2,4,2,3,1
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,3,2,3,2,3,1
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,8,7,8,2,3,1
"CHEBI:15738","small_molecule",4,2,1,3,2,3,1
"CHEBI:16330","small_molecule",1,2,1,4,2,3,1
"CHEBI:27899","small_molecule",4,5,4,8,2,3,1
"CHEBI:27899","small_molecule",3,4,3,3,2,3,1
"CHEBI:379896","small_molecule",3,2,1,8,2,3,1
"CHEBI:41774","small_molecule",3,2,1,4,2,3,1
"CHEBI:46345","small_molecule",3,4,3,4,2,3,1
"CHEBI:4672","small_molecule",4,2,1,4,2,3,1
"CHEBI:68642","small_molecule",2,2,1,3,2,3,1
"CHEBI:68642","small_molecule",1,2,1,3,2,3,1
"CHEBI:68642","small_molecule",0,2,1,3,2,3,1
"CHEBI:72564","small_molecule",4,3,2,5,2,3,1
"CHEBI:85993","small_molecule",3,2,1,7,2,3,1
"HGNC:2434","cytokine_stim",4,4,3,4,1,2,1
"HGNC:2434","cytokine_stim",3,4,3,4,1,2,1
"HGNC:5438","cytokine_stim",4,3,2,7,1,2,1
"MeSH:D000077195","disease_vs_normal",3,5,4,7,1,2,1
