"entity","kind","level","n_members","n_override","k_membri","k_eff_pre","k_eff_post","gain"
"MeSH:D064726","disease_vs_normal",4,6,5,7,0,0,0
"MeSH:D064726","disease_vs_normal",3,3,2,3,0,0,0
"MeSH:D064726","disease_vs_normal",3,2,1,3,0,0,0
"MeSH:D064726","disease_vs_normal",2,4,3,6,0,0,0
"MeSH:D064726","disease_vs_normal",2,2,1,3,0,0,0
"MeSH:D064726","disease_vs_normal",2,3,2,3,0,0,0
"MeSH:D064726","disease_vs_normal",1,3,2,5,0,0,0
"MeSH:D064726","disease_vs_normal",0,3,2,4,0,0,0
"MeSH:D064726","disease_vs_normal",1,2,1,3,0,0,0
"MeSH:D064726","disease_vs_normal",0,2,1,3,0,0,0
"MeSH:D064726","disease_vs_normal",1,3,2,3,0,0,0
"MeSH:D064726","disease_vs_normal",0,3,2,3,0,0,0
"MeSH:D065646","disease_vs_normal",4,4,3,5,0,0,0
"MeSH:D065646","disease_vs_normal",3,3,3,3,0,0,0
"MeSH:D000067329","environmental",4,2,1,3,0,0,0
"MeSH:D011839","environmental",3,2,2,3,0,0,0
"CHEBI:84491","genetic_knockdown",0,2,1,4,0,0,0
"MeSH:D015179","genetic_knockdown",3,2,1,4,0,0,0
"MeSH:D015470","genetic_knockdown",4,4,4,4,0,0,0
"HGNC:22","genetic_knockout",4,3,2,3,0,0,0
"CHEBI:16412","pathogen_or_aggregate_exposure",3,2,1,3,0,0,0
"NCBITaxon:10359","pathogen_or_aggregate_exposure",3,2,1,3,0,0,0
"NCBITaxon:10359","pathogen_or_aggregate_exposure",2,2,1,3,0,0,0
"NCBITaxon:10376","pathogen_or_aggregate_exposure",4,3,2,4,0,0,0
"NCBITaxon:10407","pathogen_or_aggregate_exposure",3,3,2,3,0,0,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,4,3,4,0,0,0
"NCBITaxon:562","pathogen_or_aggregate_exposure",4,4,3,4,0,0,0
"CHEBI:137113","small_molecule",4,3,2,3,0,0,0
"CHEBI:37537","small_molecule",4,2,1,3,0,0,0
"CHEBI:50845","small_molecule",4,2,1,5,0,0,0
"CHEBI:50845","small_molecule",3,2,1,3,0,0,0
"CHEBI:83766","small_molecule",4,2,1,3,0,0,0
"MeSH:D001943","small_molecule",4,3,2,4,0,0,0
