"cluster_id","kind","mode","n_studies","agent_id_resolved","canonical_name","n_members","n_members_resolved","n_named_diseases","n_named_compounds","n_distinct_ids","distinct_id_sample","is_minestrone"
"group_L3_dae80da3","disease_vs_normal","group",10,"UNK",NA,21,21,3,0,3,"STR:pc3_prostate_adenocarcinoma_cell_line|STR:prostate_cancer_cells_sample|STR:prostate_cancer_immortilized_cell_line",TRUE
"group_L3_db3b4ccb","disease_vs_normal","group",2,"UNK",NA,6,6,2,0,2,"STR:distal_metastsis|STR:sarcoma",TRUE
"group_L3_db3cbe0f","disease_vs_normal","group",3,"UNK",NA,6,6,1,0,1,"STR:nasopharyngeal_carcinoma",FALSE
"group_L3_db49c8f3","small_molecule","group",3,"UNK",NA,4,4,0,2,2,"STR:0_5um_arv771_6hrs|STR:treated_with_fn_dps_1_m_for_48_h",TRUE
"group_L3_db8f3ed8","small_molecule","group",5,"CHEBI:17105","4-maleylacetoacetate",10,10,0,1,1,"CHEBI:16412",FALSE
"group_L3_db97e850","cytokine_stim","group",2,"CHEBI:17296","aniline",3,3,0,1,1,"STR:mcsf_100ng_ml",FALSE
"group_L3_dbfcb48b","small_molecule","group",3,"CHEBI:85993","palbociclib",6,6,0,2,2,"CHEBI:85993|STR:palbocicilib_indisulam",TRUE
"group_L3_dc0549cb","disease_vs_normal","group",2,"UNK",NA,7,7,1,0,1,"MeSH:D058922",FALSE
"group_L3_dc092b45","disease_vs_normal","group",8,"UNK",NA,225,225,5,0,5,"STR:colorectal_adenocarcinoma|STR:colorectal_cancer_primary|STR:human_colorectal_cancer_tissue|STR:primary_colorectal_cancer|STR:primary_colorectal_tumor",TRUE
"group_L3_dc8b2914","small_molecule","group",5,"CHEBI:27953","physostigmine",10,10,0,3,3,"CHEBI:3139|STR:bleomycin_plus_pdkin|STR:treated_with_bleomycin_and_sting_deficiency",TRUE
