cluster_id	method	n_total	n_drop_a1	n_drop_a2	n_drop_a3_scprob	n_drop_a3_libsize	n_drop_union_sc	frac_sc
pair_L3_04c50c73	mega_aug	33	0	0	0	0	0	0
pair_L3_099f1865	mega_aug	14	0	0	0	0	0	0
pair_L3_0a400a22	mega_aug	10	0	0	0	0	0	0
pair_L3_0a500a99	mega_aug	16	0	0	0	0	0	0
pair_L3_0c8bffe9	mega_aug	6	0	6	0	0	6	1
pair_L3_0ceab948	mega_aug	4	0	0	0	0	0	0
pair_L3_152e57fa	mega_aug	13	0	0	0	0	0	0
pair_L3_1675ab04	mega_aug	12	0	0	0	0	0	0
pair_L3_209f9c77	mega_aug	13	0	0	0	0	0	0
pair_L3_2108099f	mega_aug	22	0	0	0	0	0	0
pair_L3_2477eb51	mega_aug	10	0	0	0	0	0	0
pair_L3_28019dff	mega_aug	22	0	0	0	0	0	0
pair_L3_3085782e	mega_aug	15	0	0	0	0	0	0
pair_L3_332e5a95	mega_aug	12	0	0	0	0	0	0
pair_L3_35290c52	mega_aug	12	0	0	0	0	0	0
pair_L3_3d6b4f95	mega_aug	19	0	0	0	0	0	0
pair_L3_3f57fbfb	mega_aug	9	0	0	0	0	0	0
pair_L3_42e11afe	mega_aug	7	0	0	0	0	0	0
pair_L3_4644bb6c	mega_aug	11	0	0	0	0	0	0
pair_L3_46ec559d	mega_aug	13	0	0	0	0	0	0
pair_L3_47f6c9e3	mega_aug	19	0	10	0	0	10	0.526315789473684
pair_L3_4abd0f24	mega_aug	33	0	0	0	0	0	0
pair_L3_4d91534d	mega_aug	11	0	0	0	0	0	0
pair_L3_50a4e0f1	mega_aug	12	0	0	0	0	0	0
pair_L3_52146ea8	mega_aug	4	0	0	0	0	0	0
pair_L3_52b9dd02	mega_aug	16	0	0	0	1	0	0
pair_L3_5423c84c	mega_aug	17	0	0	0	0	0	0
pair_L3_555a5dc3	mega_aug	36	0	0	0	0	0	0
pair_L3_585a005a	mega_aug	11	0	0	0	2	0	0
pair_L3_59886cad	mega_aug	12	0	0	0	0	0	0
pair_L3_5d18ab18	mega_aug	12	0	0	0	0	0	0
pair_L3_5deacf63	mega_aug	8	0	0	0	0	0	0
pair_L3_5ffa8eb7	mega_aug	8	0	0	0	0	0	0
pair_L3_631024c2	mega_aug	10	0	0	0	0	0	0
pair_L3_69b81068	mega_aug	6	0	0	0	0	0	0
pair_L3_69f2fe8e	mega_aug	52	0	12	0	0	12	0.230769230769231
pair_L3_7257849b	mega_aug	20	0	20	0	0	20	1
pair_L3_74f5ece3	mega_aug	13	0	0	0	0	0	0
pair_L3_7b9e47ca	mega_aug	13	0	0	0	0	0	0
pair_L3_7d325feb	mega_aug	8	0	0	0	0	0	0
pair_L3_86228e27	mega_aug	12	0	0	0	0	0	0
pair_L3_8796dd58	mega_aug	12	0	0	0	0	0	0
pair_L3_89121f91	mega_aug	24	0	18	0	0	18	0.75
pair_L3_8c5936e1	mega_aug	11	0	7	0	0	7	0.636363636363636
pair_L3_8fad7210	mega_aug	13	0	0	0	0	0	0
pair_L3_94b82595	mega_aug	24	0	24	0	0	24	1
pair_L3_950a8449	mega_aug	12	0	0	0	0	0	0
pair_L3_98d96e69	mega_aug	14	0	0	0	0	0	0
pair_L3_9cda7eb6	mega_aug	10	0	0	0	0	0	0
pair_L3_9e9a4909	mega_aug	10	0	0	0	0	0	0
pair_L3_a426870b	mega_aug	6	0	0	0	0	0	0
pair_L3_a5f56257	mega_aug	18	0	0	0	0	0	0
pair_L3_a78fcb6f	mega_aug	7	0	0	0	0	0	0
pair_L3_a839d786	mega_aug	20	0	0	0	0	0	0
pair_L3_a851ce71	mega_aug	12	0	0	0	0	0	0
pair_L3_ad2ed604	mega_aug	11	0	0	0	0	0	0
pair_L3_af5e5ad4	mega_aug	9	0	0	0	0	0	0
pair_L3_b3f24138	mega_aug	29	0	0	0	0	0	0
pair_L3_b4d325d1	mega_aug	11	0	0	0	1	0	0
pair_L3_b9000af1	mega_aug	14	0	0	0	0	0	0
pair_L3_bbcff2e6	mega_aug	14	0	0	0	0	0	0
pair_L3_c0058970	mega_aug	11	0	0	0	0	0	0
pair_L3_c4c35a5e	mega_aug	10	0	0	0	0	0	0
pair_L3_c5f0bb23	mega_aug	11	0	0	0	0	0	0
pair_L3_cebe346a	mega_aug	16	0	0	0	0	0	0
pair_L3_cf8d2e7c	mega_aug	17	0	0	0	4	0	0
pair_L3_d15da68c	mega_aug	16	0	0	0	0	0	0
pair_L3_d1ba7fd7	mega_aug	12	0	0	0	0	0	0
