rank	size	normalized	example_raw	example_geo	example_series
40	4	human embryonic stem cells after grafting were sorted for gfp expression using smart seq2 protocol picelli et al nature methods 2013 ercc spike in rna was added to t	human embryonic stem cells after grafting were sorted for GFP expression) using Smart-seq2 protocol (Picelli et al. Nature Methods 2013).  ERCC spike-in RNA was added to t	GSM3329489	GSE118412
41	4	ll or pools of 20 cells were directly sorted into lysis buffer according to the smart seq2 protocol published by picelli et al nat protocol 2014 rna libraries were pre	ll or pools of 20 cells were directly sorted into lysis buffer according to the Smart-seq2 protocol published by Picelli et al., Nat. Protocol 2014.,RNA libraries were pre	GSM2813371	GSE104995,GSE115798
42	4	ructure denaturation 72ëc for three minutes and cdna synthesis we performed smart seq2 following the published protocol66 t47d her2pos populations rescue seq her2 m	ructure denaturation (72ËC for three minutes) and cDNA synthesis. We performed SMART-Seq2 following the published protocol66 || T47D_Her2pos_populations.Rescue.seq.HER2.m	GSM3437794	GSE121411
43	4	single cell isolation by facs and cdna generation following smartseq2 protocol nat protoc 2014 jan 9 1 171 81 doi 10 1038 nprot 2014 006 epub 2	Single cell isolation by FACS and cDNA generation following SmartSeq2 protocol. (Nat Protoc. 2014 Jan;9(1):171-81. doi: 10.1038/nprot.2014.006. Epub 2	GSM3136633	GSE113036
44	4	the material was used for the single cell smart seq2 nextera xt library preparation and sequenced on the hiseq4000 system illumina	The material was used for the single cell Smart-Seq2, Nextera XT library preparation and sequenced on the HiSeq4000 System (Illumina)	GSM4543255	GSE150198,GSE150199
45	4	we used the polya rna extraction method from the smart seq2 protocol by picelli et al nature methods 2013 we used the cdna library prepar	We used the polyA-RNA extraction method from the SMART-Seq2 protocol by Picelli, et al. Nature Methods 2013.,We used the cDNA library prepar	GSM4406010	GSE146773
46	3	2 3 î¼l lysis buffer 0 8 vol vol triton x 100 and 2 u î¼l rnase inhibitor smart seq2 libraries were generated following the published protocol s picelli et al fu	2.3 Î¼l lysis buffer (0.8% (vol/vol) Triton X-100 and 2 U/Î¼L RNase inhibitor).,Smart-seq2 libraries were generated following the published protocol (S. Picelli et al., Fu	GSM4957033	GSE162685,GSE162687
47	3	direct sorting into lysis buffer this assay was adapted from the smart seq2 protocol picelli et al 2013 rosales et al 2018 single cells were sorted in	Direct sorting into lysis buffer,This assay was adapted from the Smart-seq2 protocol (Picelli et al. 2013, Rosales et al. 2018). Single cells were sorted in	GSM3309549	GSE117803
48	3	e sorted on a bd facs aria fusion iii sorter into 96 well plates containing 4ul smart seq2 lysis buffer cells were kept on ice through the whole procedure the released r	e sorted on a BD FACS Aria Fusion III sorter into 96-well plates containing 4ul SMART-seq2 lysis buffer; cells were kept on ice through the whole procedure. The released R	GSM4472598	GSE148506,GSE148507
49	3	encing full length single cell rna sequencing libraries are prepared using the smart seq2 protocol picelli et al nat protoc 2014 with minor modifications briefly	encing.,Full-length single cell RNA sequencing libraries are prepared using the Smart-seq2 protocol (Picelli et al., Nat. Protoc. 2014) with minor modifications. Briefly, 	GSM3656193	GSE127900
50	3	full length rna seq smartseq2 libraries were constructed using the smartseq2 protocol accoring to manufacture	Full length RNA-seq (Smartseq2),Libraries were constructed using the smartseq2 protocol accoring to manufacture	GSM3934033	GSE134038
