"cluster_id","kind","agent_id_v5","n_studies","gsm","in_h5","new_agent_id","new_canon","new_src","is_strong"
"group_L0_e13f53d0","pathogen_or_aggregate_exposure","STR:tuberculosis",1,"GSM2475638",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_b05ec3fc","pathogen_or_aggregate_exposure","STR:sars_cov_2_infection",1,"GSM6139283",TRUE,"STR:sars_cov_2_infection","sars-cov-2 infection","STR_FALLBACK",FALSE
"group_L0_a225c8d8","pathogen_or_aggregate_exposure","UNK",1,"GSM5529064",TRUE,,,"NO_RECOVERY",FALSE
"group_L1_440f63df","pathogen_or_aggregate_exposure","STR:rhinovirus a39",1,"GSM3189312",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_80d23383","pathogen_or_aggregate_exposure","UNK",2,"GSM7757166",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_21e6f0fa","pathogen_or_aggregate_exposure","STR:human immunodeficiency virus 1",1,"GSM4083642",TRUE,,,"NO_RECOVERY",FALSE
"group_L2_27da2557","pathogen_or_aggregate_exposure","STR:sars-cov-2",1,"GSM5593455",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_bef21407","pathogen_or_aggregate_exposure","UNK",1,"GSM6592578",TRUE,"STR:hcmv_gfp","hcmv-gfp","STR_FALLBACK",FALSE
"group_L1_336fae6d","pathogen_or_aggregate_exposure","STR:d_7",1,"GSM6170929",TRUE,"STR:d_7","d-7","STR_FALLBACK",FALSE
"group_L3_4abf0e9c","pathogen_or_aggregate_exposure","STR:exposed",1,"GSM5947260",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_a8b34127","pathogen_or_aggregate_exposure","UNK",1,"GSM5730317",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_0606edd1","pathogen_or_aggregate_exposure","STR:mycobacterium avium",1,"GSM8338768",TRUE,,,"NO_RECOVERY",FALSE
"pair_L3_0d84f6c7","pathogen_or_aggregate_exposure","STR:hiv_1_bal_hsa",1,"GSM4800195",TRUE,"STR:hiv_1_bal_hsa","hiv-1-bal-hsa","STR_FALLBACK",FALSE
"pair_L2_5020858e","pathogen_or_aggregate_exposure","STR:live_bacteria",1,"GSM7475359",TRUE,"STR:live_bacteria","live bacteria","STR_FALLBACK",FALSE
"pair_L3_e6a3136b","pathogen_or_aggregate_exposure","STR:c_parvum_infected_cells",1,"GSM7731121",TRUE,"STR:c_parvum_infected_cells","c. parvum-infected cells","STR_FALLBACK",FALSE
"pair_L1_46d112d7","pathogen_or_aggregate_exposure","UNK",1,"GSM4077474",TRUE,"STR:43_63_dpi_with_hpv16_wt","43-63 dpi with hpv16 wt","STR_FALLBACK",FALSE
"group_L0_87813fc3","pathogen_or_aggregate_exposure","UNK",1,"GSM4772746",TRUE,,,"NO_RECOVERY",FALSE
"group_L1_b99be10c","pathogen_or_aggregate_exposure","STR:slr14",1,"GSM2883073",TRUE,"STR:8hr_post_stimulation_with_rig_i_ligand_slr14","8hr post-stimulation with rig-i ligand slr14","STR_FALLBACK",FALSE
"pair_L0_2ede90d4","pathogen_or_aggregate_exposure","STR:phage solution",1,"GSM7058280",TRUE,"STR:sep1_phage_solution","sep1 phage solution","STR_FALLBACK",FALSE
"group_L2_93e5c8f7","pathogen_or_aggregate_exposure","UNK",1,"GSM6175598",TRUE,"STR:t_cruzi_y_strain","t. cruzi y strain","STR_FALLBACK",FALSE
"group_L2_596c0e81","pathogen_or_aggregate_exposure","UNK",3,"GSM2886346",TRUE,,,"NO_RECOVERY",FALSE
