geo_accession	series_id_raw	series_id_resolved
GSM7754948	GSE242202	GSE242202
GSM7754949	GSE242202	GSE242202
GSM7754950	GSE242202	GSE242202
GSM7754951	GSE242202	GSE242202
GSM7754952	GSE242202	GSE242202
GSM7754953	GSE242202	GSE242202
GSM7754954	GSE242202	GSE242202
GSM7754955	GSE242202	GSE242202
GSM7754956	GSE242202	GSE242202
GSM7754957	GSE242202	GSE242202
GSM7754958	GSE242202	GSE242202
GSM7754959	GSE242202	GSE242202
GSM7754960	GSE242202	GSE242202
GSM7754961	GSE242202	GSE242202
GSM7754962	GSE242202	GSE242202
GSM7754963	GSE242202	GSE242202
GSM7754964	GSE242202	GSE242202
GSM7754965	GSE242202	GSE242202
GSM7754966	GSE242202	GSE242202
GSM7754967	GSE242202	GSE242202
GSM7754968	GSE242202	GSE242202
GSM7754969	GSE242202	GSE242202
GSM7754970	GSE242202	GSE242202
GSM7754971	GSE242202	GSE242202
GSM7754972	GSE242202	GSE242202
GSM7779991	GSE243151,GSE243154	GSE243151
GSM7779992	GSE243151,GSE243154	GSE243151
GSM7779993	GSE243151,GSE243154	GSE243151
GSM7779994	GSE243151,GSE243154	GSE243151
GSM7779995	GSE243151,GSE243154	GSE243151
GSM7779996	GSE243151,GSE243154	GSE243151
GSM7779997	GSE243151,GSE243154	GSE243151
GSM7779998	GSE243151,GSE243154	GSE243151
GSM7779999	GSE243151,GSE243154	GSE243151
GSM7780000	GSE243151,GSE243154	GSE243151
GSM7780001	GSE243151,GSE243154	GSE243151
GSM7823602	GSE244672,GSE244753	GSE244672
GSM7823603	GSE244672,GSE244753	GSE244672
GSM7823604	GSE244672,GSE244753	GSE244672
GSM7823605	GSE244672,GSE244753	GSE244672
GSM7823606	GSE244672,GSE244753	GSE244672
GSM7823607	GSE244672,GSE244753	GSE244672
GSM7823608	GSE244672,GSE244753	GSE244672
GSM7823609	GSE244672,GSE244753	GSE244672
GSM7823610	GSE244672,GSE244753	GSE244672
GSM7823611	GSE244672,GSE244753	GSE244672
GSM7823612	GSE244672,GSE244753	GSE244672
GSM7823613	GSE244672,GSE244753	GSE244672
GSM7838311	GSE245184,GSE245187	GSE245184
GSM7838312	GSE245184,GSE245187	GSE245184
GSM7838313	GSE245184,GSE245187	GSE245184
GSM7838314	GSE245184,GSE245187	GSE245184
GSM7838315	GSE245184,GSE245187	GSE245184
GSM7838316	GSE245184,GSE245187	GSE245184
GSM7838317	GSE245184,GSE245187	GSE245184
