"n","scheda","nome","entita","verso","controllo","cluster_id","studi","campioni","verdetto"
122,"122-gemcitabine-k03.txt","gemcitabine","CHEBI:175901","gain","vehicle_untreated","cgroup_L5_a8015c98",3,23,"difettosa"
123,"123-calcium_atom-k03.txt","calcium atom","CHEBI:22984","gain","vehicle_untreated","cgroup_L5_ea4a1823",3,29,"corretta"
124,"124-GSK-LSD1-k03.txt","GSK-LSD1","CHEBI:232752","gain","vehicle_untreated","cgroup_L5_a3f0c959",3,30,"corretta"
125,"125-Abemaciclib-k03.txt","Abemaciclib","CHEBI:233362","gain","vehicle_untreated","cgroup_L5_0dd60753",3,24,"corretta"
126,"126-resveratrol-k03.txt","resveratrol","CHEBI:27881","gain","vehicle_untreated","cgroup_L5_57810d6c",3,18,"corretta"
127,"127-liquiritigenin-k03.txt","liquiritigenin","CHEBI:28777","gain","vehicle_untreated","cgroup_L5_3d3658ad",3,28,"corretta"
128,"128-chloroquine-k03.txt","chloroquine","CHEBI:3638","gain","vehicle_untreated","cgroup_L5_1c7b64af",3,21,"corretta"
129,"129-PMA__phorbol_12-myristate_13-acetate_-k03.txt","PMA (phorbol 12-myristate 13-acetate)","CHEBI:37537","gain","vehicle_untreated","cgroup_L5_31308596",3,23,"difettosa"
130,"130-tamoxifen-k03.txt","tamoxifen","CHEBI:41774","gain","vehicle_untreated","cgroup_L5_8b61f50b",3,102,"difettosa"
131,"131-daunorubicin-k03.txt","daunorubicin","CHEBI:41977","gain","vehicle_untreated","cgroup_L5_dcce160a",3,63,"corretta"
132,"132-forskolin-k03.txt","forskolin","CHEBI:42471","gain","vehicle_untreated","cgroup_L5_2248a891",3,54,"corretta"
133,"133-methotrexate-k03.txt","methotrexate","CHEBI:44185","gain","vehicle_untreated","cgroup_L5_5b9a08fb",3,78,"corretta"
134,"134-digoxin-k03.txt","digoxin","CHEBI:4551","gain","vehicle_untreated","cgroup_L5_03d0ca7b",3,54,"corretta"
135,"135-vorinostat-k03.txt","vorinostat","CHEBI:45716","gain","vehicle_untreated","cgroup_L5_d800c4f2",3,50,"corretta"
136,"136-trichostatin_A-k03.txt","trichostatin A","CHEBI:46024","gain","vehicle_untreated","cgroup_L5_356eedd3",3,17,"corretta"
137,"137-docetaxel-k03.txt","docetaxel","CHEBI:4672","gain","vehicle_untreated","cgroup_L5_17b35bdc",3,41,"corretta"
138,"138-Nutlin-k03.txt","Nutlin","CHEBI:46741","gain","vehicle_untreated","cgroup_L5_8958b27a",3,36,"corretta"
139,"139-4_-epidoxorubicin-k03.txt","4'-epidoxorubicin","CHEBI:47898","gain","vehicle_untreated","cgroup_L5_24ae0579",3,107,"corretta"
140,"140-DRB-k03.txt","DRB","CHEBI:49852","gain","vehicle_untreated","cgroup_L5_e294a3bc",3,25,"corretta"
141,"141-hemin-k03.txt","hemin","CHEBI:50385","gain","vehicle_untreated","cgroup_L5_f640365a",3,30,"corretta"
142,"142-fluoxetine-k03.txt","fluoxetine","CHEBI:5118","gain","vehicle_untreated","cgroup_L5_06ff1592",3,14,"corretta"
143,"143-nilotinib-k03.txt","nilotinib","CHEBI:52172","gain","vehicle_untreated","cgroup_L5_3b461817",3,125,"difettosa"
144,"144-afatinib-k03.txt","afatinib","CHEBI:61390","gain","vehicle_untreated","cgroup_L5_a4029927",3,93,"difettosa"
145,"145-neratinib-k03.txt","neratinib","CHEBI:61397","gain","vehicle_untreated","cgroup_L5_83b1f88c",3,194,"corretta"
146,"146-isoprenaline-k03.txt","isoprenaline","CHEBI:64317","gain","vehicle_untreated","cgroup_L5_92f4f307",3,60,"corretta"
147,"147-regorafenib-k03.txt","regorafenib","CHEBI:68647","gain","vehicle_untreated","cgroup_L5_fd0c6a79",3,139,"corretta"
148,"148-omacetaxine-k03.txt","omacetaxine","CHEBI:71019","gain","vehicle_untreated","cgroup_L5_05322ba1",3,43,"corretta"
149,"149-tofacitinib-k03.txt","tofacitinib","CHEBI:71200","gain","vehicle_untreated","cgroup_L5_ae11259e",3,42,"corretta"
150,"150-cabozantinib-k03.txt","cabozantinib","CHEBI:72317","gain","vehicle_untreated","cgroup_L5_8ac307e0",3,201,"corretta"
151,"151-ponatinib-k03.txt","ponatinib","CHEBI:78543","gain","vehicle_untreated","cgroup_L5_16525349",3,89,"corretta"
152,"152-sapanisertib-k03.txt","sapanisertib","CHEBI:91450","gain","vehicle_untreated","cgroup_L5_3437775a",3,41,"corretta"
