"studio","n_ricevuti","n_collocati","n_persi","persi"
"GSE64813",188,91,97,"GSM1580973,GSM1580974,GSM1580977,GSM1580978,GSM1580979,GSM1580981,GSM1580983,GSM1580985,GSM1580987,GSM1580989,GSM1580991,GSM1580993,GSM1580995,GSM1580997,GSM1580999,GSM1581001,GSM1581003,GSM1581005,GSM1581007,GSM1581009,GSM1581011,GSM1581013,GSM1581017,GSM1581019,GSM1581023,GSM1581024,GSM1581025,GSM1581029,GSM1581033,GSM1581034,GSM1581035,GSM1581037,GSM1581039,GSM1581041,GSM1581043,GSM1581047,GSM1581048,GSM1581049,GSM1581056,GSM1581057,GSM1581059,GSM1581060,GSM1581061,GSM1581063,GSM1581065,GSM1581066,GSM1581067,GSM1581068,GSM1581074,GSM1581075,GSM1581078,GSM1581079,GSM1581082,GSM1581083,GSM1581084,GSM1581085,GSM1581087,GSM1581088,GSM1581090,GSM1581091,GSM1581092,GSM1581093,GSM1581094,GSM1581095,GSM1581096,GSM1581098,GSM1581099,GSM1581100,GSM1581101,GSM1581102,GSM1581103,GSM1581104,GSM1581105,GSM1581106,GSM1581107,GSM1581108,GSM1581109,GSM1581110,GSM1581112,GSM1581113,GSM1581114,GSM1581115,GSM1581116,GSM1581117,GSM1581118,GSM1581119,GSM1581120,GSM1581122,GSM1581125,GSM1581129,GSM1581130,GSM1581133,GSM1581134,GSM1581136,GSM1581139,GSM1581140,GSM1581141"
"GSE65335",9,9,0,""
"GSE65420",29,29,0,""
"GSE65634",32,32,0,""
"GSE67196",53,53,0,""
"GSE69121",8,8,0,""
"GSE70068",12,12,0,""
"GSE72460",6,6,0,""
"GSE74220",6,6,0,""
"GSE74251",12,12,0,""
"GSE74324",72,72,0,""
"GSE74697",52,52,0,""
"GSE75962",4,4,0,""
"GSE76608",8,8,0,""
"GSE77039",32,26,6,"GSM2042924,GSM2042927,GSM2042929,GSM2042941,GSM2042943,GSM2042947"
"GSE77307",12,12,0,""
"GSE77509",60,60,0,""
"GSE78922",14,14,0,""
"GSE78936",82,82,0,""
"GSE79027",24,24,0,""
"GSE79544",23,21,2,"GSM2608033,GSM2608035"
"GSE79782",29,29,0,""
"GSE80153",49,49,0,""
"GSE80365",48,48,0,""
"GSE80651",6,6,0,""
"GSE80655",281,281,0,""
"GSE80716",12,12,0,""
"GSE81106",6,6,0,""
"GSE81405",15,15,0,""
"GSE81478",6,6,0,""
"GSE81687",7,7,0,""
"GSE82204",9,9,0,""
"GSE83601",7,7,0,""
"GSE83687",134,134,0,""
"GSE84538",12,12,0,""
"GSE85567",83,83,0,""
"GSE85910",4,4,0,""
"GSE86356",126,126,0,""
"GSE86906",36,36,0,""
"GSE87809",9,9,0,""
"GSE88750",9,9,0,""
"GSE88757",12,12,0,""
"GSE89127",90,90,0,""
"GSE89408",181,181,0,""
"GSE89442",23,23,0,""
"GSE89725",5,5,0,""
"GSE89843",778,778,0,""
"GSE90469",10,10,0,""
"GSE90889",12,12,0,""
"GSE92387",24,24,0,""
"GSE92532",83,82,1,"GSM2431669"
"GSE92592",38,38,0,""
"GSE92723",49,49,0,""
"GSE92724",10,10,0,""
"GSE93153",56,49,7,"GSM2445592,GSM2445600,GSM2445605,GSM2445606,GSM2445624,GSM2445629,GSM2445630"
"GSE93330",11,11,0,""
"GSE93385",18,18,0,""
"GSE93620",4,4,0,""
"GSE93624",245,245,0,""
"GSE93807",4,4,0,""
"GSE93904",20,20,0,""
"GSE94235",20,20,0,""
"GSE94724",4,4,0,""
"GSE95079",8,8,0,""
"GSE95243",20,20,0,""
"GSE95413",44,44,0,""
"GSE95587",116,116,0,""
"GSE96649",12,12,0,""
"GSE96975",24,24,0,""
"GSE97356",324,324,0,""
"GSE97358",168,168,0,""
"GSE97619",24,24,0,""
"GSE97744",24,24,0,""
"GSE97766",16,16,0,""
"GSE98428",15,15,0,""
"GSE98984",6,6,0,""
"GSE99299",39,32,7,"GSM2640699,GSM2640703,GSM2640704,GSM2640705,GSM2640711,GSM2640722,GSM2640723"
"GSE99381",8,8,0,""
"GSE99392",8,8,0,""
"GSE99626",28,28,0,""
"GSE99875",11,11,0,""
