"studio","n_ricevuti","n_collocati","n_persi","persi"
"GSE155336",12,12,0,""
"GSE155452",12,12,0,""
"GSE155518",6,6,0,""
"GSE155800",19,19,0,""
"GSE155832",40,40,0,""
"GSE155923",25,25,0,""
"GSE156038",12,12,0,""
"GSE156044",8,8,0,""
"GSE156067",18,18,0,""
"GSE156184",9,9,0,""
"GSE157069",16,16,0,""
"GSE157104",28,28,0,""
"GSE157214",6,6,0,""
"GSE157300",14,14,0,""
"GSE157364",32,32,0,""
"GSE157371",12,12,0,""
"GSE157428",33,33,0,""
"GSE157725",8,8,0,""
"GSE157905",16,16,0,""
"GSE158119",18,18,0,""
"GSE158305",24,24,0,""
"GSE158395",13,13,0,""
"GSE158434",18,18,0,""
"GSE158552",9,9,0,""
"GSE158557",24,19,5,"GSM4802781,GSM4802784,GSM4802786,GSM4802800,GSM4802801"
"GSE158674",11,11,0,""
"GSE158814",8,8,0,""
"GSE158923",12,12,0,""
"GSE158969",30,30,0,""
"GSE159196",16,16,0,""
"GSE159201",24,24,0,""
"GSE159220",6,6,0,""
"GSE159225",50,50,0,""
"GSE159235",8,8,0,""
"GSE159531",4,4,0,""
"GSE159585",28,28,0,""
"GSE159606",12,12,0,""
"GSE159782",24,24,0,""
"GSE160016",11,11,0,""
"GSE160534",12,12,0,""
"GSE160671",20,20,0,""
"GSE160981",24,24,0,""
"GSE161021",6,6,0,""
"GSE161031",30,30,0,""
"GSE161087",24,21,3,"GSM4889446,GSM4889456,GSM4889457"
"GSE161199",23,23,0,""
"GSE161664",37,37,0,""
"GSE161761",24,21,3,"GSM4914134,GSM4914136,GSM4914140"
"GSE161800",12,12,0,""
"GSE161803",18,18,0,""
"GSE161860",8,8,0,""
"GSE161916",27,27,0,""
"GSE162104",60,60,0,""
"GSE162285",90,90,0,""
"GSE162427",12,12,0,""
"GSE162648",20,19,1,"GSM4956178"
"GSE162691",36,36,0,""
