"cluster_id","study_id","etichetta","n_t","n_c","gsm_t","gsm_c"
"cgroup_L5_c548d053","GSE118566","LPS-treated lung tissue || Vehicle control lung tissue",3,6,"GSM3333313,GSM3333314,GSM3333315","GSM3333307,GSM3333308,GSM3333309,GSM3333310,GSM3333311,GSM3333312"
"cgroup_L5_c548d053","GSE168468","LPS (4h) || RPMI media (4h)",2,2,"GSM5141079,GSM5141081","GSM5141074,GSM5141076"
"cgroup_L5_c548d053","GSE168468","LPS (24h) || RPMI media (24h)",6,2,"GSM5141099,GSM5141101,GSM5141103,GSM5141121,GSM5141122,GSM5141123","GSM5141094,GSM5141095"
"cgroup_L5_c548d053","GSE168468","LPS (4h) || RPMI media (4h)",2,2,"GSM5141080,GSM5141083","GSM5141074,GSM5141076"
"cgroup_L5_c548d053","GSE168468","LPS (24h) || RPMI media (24h)",3,2,"GSM5141102,GSM5141119,GSM5141120","GSM5141094,GSM5141095"
"cgroup_L5_c548d053","GSE233262","iPSC-microglia, LPS, 6h || iPSC-microglia, vehicle treatment, 6h",3,5,"GSM7417933,GSM7417936,GSM7417939","GSM7417932,GSM7417935,GSM7417938,GSM7417940,GSM7417943"
"cgroup_L5_c548d053","GSE233262","iPSC-microglia, LPS, 6h || iPSC-microglia, vehicle treatment, 6h",2,5,"GSM7417942,GSM7417944","GSM7417932,GSM7417935,GSM7417938,GSM7417940,GSM7417943"
"cgroup_L5_c5e86fe9","GSE165585","Olaparib Treated Buccal Mucosa Squamous Carcinoma || Parent Oral Cancer Cell Line",2,2,"GSM5044382,GSM5044383","GSM5044372,GSM5044373"
"cgroup_L5_c5e86fe9","GSE165585","Olaparib Treated Buccal Mucosa Squamous Carcinoma || Parent Oral Cancer Cell Line",2,2,"GSM5044380,GSM5044381","GSM5044372,GSM5044373"
"cgroup_L5_d631ee89","GSE110041","IL3 6h || Untreated 6h",5,8,"GSM2976790,GSM2976810,GSM2976814,GSM2976827,GSM2976828","GSM2976811,GSM2976812,GSM2976817,GSM2976818,GSM2976829,GSM2976830,GSM2976841,GSM2976842"
"cgroup_L5_d631ee89","GSE110041","IL3 6h || Untreated 6h",7,8,"GSM2976805,GSM2976806,GSM2976807,GSM2976808,GSM2976809,GSM2976839,GSM2976840","GSM2976811,GSM2976812,GSM2976817,GSM2976818,GSM2976829,GSM2976830,GSM2976841,GSM2976842"
"cgroup_L5_d6fad784","GSE86356","Heart DM1 || Heart Healthy",5,3,"GSM2309539,GSM2309540,GSM2309542,GSM2309544,GSM2309546","GSM2309534,GSM2309535,GSM2309536"
"cgroup_L5_d6fad784","GSE86356","Heart DM1 || Heart Healthy",6,3,"GSM2309537,GSM2309538,GSM2309541,GSM2309543,GSM2309545,GSM2309547","GSM2309534,GSM2309535,GSM2309536"
"cgroup_L5_d9e23e09","GSE202436","TNFα 1h || Vehicle 1h",3,3,"GSM6122472,GSM6122473,GSM6122475","GSM6122467,GSM6122468,GSM6122470"
"cgroup_L5_d9e23e09","GSE202436","TNFα 18h || Vehicle 18h",3,3,"GSM6122547,GSM6122548,GSM6122550","GSM6122542,GSM6122543,GSM6122545"
"cgroup_L5_d9e23e09","GSE202436","TNFα 2h || Vehicle 2h",3,2,"GSM6122497,GSM6122498,GSM6122500","GSM6122492,GSM6122495"
"cgroup_L5_d9e23e09","GSE202436","TNFα 6h || Vehicle 6h",3,3,"GSM6122522,GSM6122523,GSM6122525","GSM6122517,GSM6122518,GSM6122520"
"cgroup_L5_d9e23e09","GSE202436","TNFα 1h || Vehicle 1h",2,2,"GSM6122471,GSM6122474","GSM6122466,GSM6122469"
"cgroup_L5_d9e23e09","GSE202436","TNFα 18h || Vehicle 18h",2,2,"GSM6122546,GSM6122549","GSM6122541,GSM6122544"
"cgroup_L5_d9e23e09","GSE202436","TNFα 2h || Vehicle 2h",2,2,"GSM6122496,GSM6122499","GSM6122491,GSM6122494"
"cgroup_L5_d9e23e09","GSE202436","TNFα 6h || Vehicle 6h",2,2,"GSM6122521,GSM6122524","GSM6122516,GSM6122519"
"cgroup_L5_efced505","GSE217421","Sunitinib-treated cardiac myocytes (MSN06) || DMSO-treated cardiac myocytes",2,12,"GSM6718115,GSM6718117","GSM6717325,GSM6717326,GSM6717327,GSM6717328,GSM6717330,GSM6717331,GSM6717332,GSM6717336,GSM6717347,GSM6717348,GSM6717382,GSM6717383"
"cgroup_L5_efced505","GSE217421","Sunitinib-treated cardiac myocytes || DMSO-treated cardiac myocytes",14,12,"GSM6718104,GSM6718106,GSM6718108,GSM6718109,GSM6718110,GSM6718111,GSM6718112,GSM6718113,GSM6718116,GSM6718118,GSM6718120,GSM6718122,GSM6718123,GSM6718124","GSM6717325,GSM6717326,GSM6717327,GSM6717328,GSM6717330,GSM6717331,GSM6717332,GSM6717336,GSM6717347,GSM6717348,GSM6717382,GSM6717383"
"cgroup_L5_efced505","GSE217421","Sunitinib-treated cardiac myocytes || DMSO-treated cardiac myocytes",2,12,"GSM6718107,GSM6718121","GSM6717325,GSM6717326,GSM6717327,GSM6717328,GSM6717330,GSM6717331,GSM6717332,GSM6717336,GSM6717347,GSM6717348,GSM6717382,GSM6717383"
"cgroup_L5_efced505","GSE217421","Sunitinib-treated cardiac myocytes (MSN06) || DMSO-treated cardiac myocytes",2,12,"GSM6718114,GSM6718119","GSM6717325,GSM6717326,GSM6717327,GSM6717328,GSM6717330,GSM6717331,GSM6717332,GSM6717336,GSM6717347,GSM6717348,GSM6717382,GSM6717383"
"cgroup_L5_f97e50de","GSE217421","Crizotinib-treated cardiac myocytes || DMSO-treated cardiac myocytes",6,12,"GSM6717304,GSM6717305,GSM6717306,GSM6717311,GSM6717314,GSM6717315","GSM6717325,GSM6717326,GSM6717327,GSM6717328,GSM6717330,GSM6717331,GSM6717332,GSM6717336,GSM6717347,GSM6717348,GSM6717382,GSM6717383"
"cgroup_L5_f97e50de","GSE217421","Crizotinib-treated cardiac myocytes || DMSO-treated cardiac myocytes",11,12,"GSM6717302,GSM6717303,GSM6717307,GSM6717308,GSM6717309,GSM6717310,GSM6717312,GSM6717313,GSM6717316,GSM6717318,GSM6717319","GSM6717325,GSM6717326,GSM6717327,GSM6717328,GSM6717330,GSM6717331,GSM6717332,GSM6717336,GSM6717347,GSM6717348,GSM6717382,GSM6717383"
"cgroup_L5_f97e50de","GSE239666","Primary tissue treated with crizotinib || Primary tissue treated with DMSO",5,3,"GSM7669673,GSM7669676,GSM7669677,GSM7669680,GSM7669681","GSM7669670,GSM7669671,GSM7669672"
"cgroup_L5_f97e50de","GSE239666","Primary tissue treated with crizotinib || Primary tissue treated with DMSO",2,3,"GSM7669675,GSM7669679","GSM7669670,GSM7669671,GSM7669672"
