"study_id","esito"
"GSE214475","sparisce dai cluster del contrasto"
"GSE214715","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE216043","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE216561","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE216613","cambia l'ENTITA' anche in Stadio 3"
"GSE216837","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE217012","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE217234","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE217452","sparisce dai cluster del contrasto"
"GSE218451","sparisce dai cluster del contrasto"
"GSE219191","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE221103","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE221860","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE221861","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE222117","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE222221","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE222284","cambia l'ENTITA' anche in Stadio 3"
"GSE222298","sparisce dai cluster del contrasto"
"GSE223201","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE223688","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE224973","cambia l'ENTITA' anche in Stadio 3"
"GSE225206","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE225375","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE226045","sparisce dai cluster del contrasto"
"GSE226151","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE226664","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE227737","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE227871","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE228234","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE228269","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE229026","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE229398","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE229600","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE230362","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE230741","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE232034","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE232390","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE233425","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE233494","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE233732","cambia l'ENTITA' anche in Stadio 3"
"GSE233900","sparisce dai cluster del contrasto"
"GSE234170","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE234795","sparisce dai cluster del contrasto"
"GSE235210","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE235401","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE235462","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE235768","sparisce dai cluster del contrasto"
"GSE236253","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE236939","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE237059","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE237845","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE237960","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE240167","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE240364","sparisce dai cluster del contrasto"
"GSE240369","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE240370","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE240567","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE240928","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE241565","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
