"cluster_id","entita","k","n_studi_accusati","peso_contaminato","verdetto","esito","n_studi_tolti","spearman","n_sig_pieno","n_sig_persi","pct_sig_persi","max_abs_delta_logFC","k_pieno","k_ridotto","sopravvive","percentile_sig","percentile_spearman","percentile_delta","n_nulli","bracci_accusati","bracci_nulli_mediana"
"cgroup_L5_2ec87595","metformin",9,2,18.0546845294295,"difettosa","ok",2,0.622107079023932,357,132,36.9747899159664,0.2665147751363,8,7,TRUE,0.3,0.5,0.2,20,3,2
"cgroup_L5_2987cdb6","erlotinib",7,1,17.0987333187122,"difettosa","ok",1,0.632424848116259,2367,1350,57.0342205323194,0.839836248448617,7,6,TRUE,1,1,0.833333333333333,6,5,1
"cgroup_L5_c860712d","cystic fibrosis",4,1,15.8668991430948,"difettosa","ok",1,0.645316741453505,710,357,50.2816901408451,0.0794073697738225,4,3,TRUE,0.666666666666667,0.666666666666667,0,3,1,1
"cgroup_L5_83f57274","hypoxia",27,4,15.5617381266703,"difettosa","ok",4,0.795067447893142,3291,850,25.8280158006685,0.133349438841228,26,22,TRUE,0.25,1,0.05,20,7,6
"cgroup_L5_29cb04f8","5-fluorouracil",6,1,14.6740769214421,"difettosa","ok",1,0.828941736735442,1200,106,8.83333333333333,0.610043664093936,6,5,TRUE,0.2,0,0.6,5,1,1
"cgroup_L5_eb5e1e65","dexamethasone",11,2,13.4346549355694,"difettosa","ok",2,0.722438498299098,609,173,28.4072249589491,0.358959156640708,10,9,TRUE,0.1,0.2,0.5,20,2,2
"cgroup_L5_ba4af011","irradiation",7,1,13.0445440350208,"difettosa","ok",1,0.737853949193933,2854,273,9.56552207428171,0.0213244989822571,7,6,TRUE,0.166666666666667,0.833333333333333,0.166666666666667,6,2,1
"cgroup_L5_601ede7b","osimertinib",9,1,13.0022433392737,"difettosa","ok",1,0.754937683089618,1565,760,48.5623003194888,0.399821970873578,9,8,TRUE,1,0.875,0.875,8,2,1
"cgroup_L5_444e7fc2","HCMV (human cytomegalovirus)",9,1,12.5692899644087,"difettosa","ok",1,0.74664163613913,529,232,43.8563327032136,0.0549541492163131,8,8,TRUE,0.625,0.5,0.375,8,1,1
"cgroup_L5_721184e6","THZ1",9,1,11.5335670956199,"difettosa","ok",1,0.711570400630017,615,243,39.5121951219512,0.385578188033812,8,7,TRUE,1,0.875,1,8,1,1
"cgroup_L5_2e16719f","TGFB1",54,6,11.4886098382902,"difettosa","ok",6,0.928618328849858,8200,614,7.48780487804878,0.163574803824631,53,47,TRUE,0.05,0.95,0.3,20,14,9.5
"cgroup_L5_0e66597e","fulvestrant",9,1,11.3141171193594,"difettosa","ok",1,0.91751026936841,3722,452,12.1440085975282,0.102642847849272,9,8,TRUE,0.125,0.25,0.125,8,1,1
"cgroup_L5_c0d1d837","enzalutamide",18,2,10.7684034893817,"difettosa","ok",2,0.853095742477504,3380,663,19.6153846153846,0.0864001193076454,18,16,TRUE,0.2,0.4,0.2,20,2,2
"cgroup_L5_79a73ac5","Influenza A virus",8,1,9.98266971878417,"difettosa","ok",1,0.879016691782632,837,103,12.3058542413381,0.0190677598945359,7,6,TRUE,0.142857142857143,0,0,7,1,1
"cgroup_L5_c548d053","lipopolysaccharide",33,3,9.93561828491431,"difettosa","ok",3,0.945219425326677,5088,678,13.3254716981132,0.345803984527222,31,28,TRUE,0.45,0.3,0.55,20,3,3
"cgroup_L5_3a0a595f","dasatinib",8,1,8.44444934611971,"difettosa","ok",1,0.780924217951795,425,49,11.5294117647059,0.0951690127226673,6,6,TRUE,0.142857142857143,0.285714285714286,0.142857142857143,7,1,2
"cgroup_L5_b6b8bc00","palbociclib",15,1,7.70179439325614,"difettosa","ok",1,0.873915663826308,3058,125,4.08763897972531,0.843228696301961,15,14,TRUE,0.0714285714285714,0.857142857142857,1,14,1,1
"cgroup_L5_c3ae78cd","Crohn Disease",8,1,6.69201319139222,"difettosa","ok",1,0.906809768367128,3416,322,9.42622950819672,0.0322005017157616,8,7,TRUE,0,0.142857142857143,0,7,1,2
"cgroup_L5_021e875e","cisplatin",16,1,6.07611564175174,"difettosa","ok",1,0.852164271601529,1027,133,12.9503407984421,0.349247031980216,15,14,TRUE,0.266666666666667,0.666666666666667,0.933333333333333,15,1,1
"cgroup_L5_c054e202","sirolimus",7,1,5.88174019764241,"difettosa","ok",1,0.895991347497887,2975,737,24.7731092436975,0.248472538813985,7,6,TRUE,0.333333333333333,0,0.666666666666667,6,1,1
"cgroup_L5_871ae09e","SARS-CoV-2",25,1,4.36752966228844,"difettosa","ok",1,0.811009158774593,816,114,13.9705882352941,0.0822992087586195,25,24,TRUE,0.45,1,0.4,20,2,1
"cgroup_L5_f94b6180","R1881 (metribolone)",18,1,4.14424796896478,"difettosa","ok",1,0.969684627011258,7956,288,3.61990950226244,0.206729267403859,18,17,TRUE,0.294117647058824,0.411764705882353,0.647058823529412,17,1,1
