"cluster_id","entita","k","n_studi_accusati","peso_contaminato","verdetto","fascia"
"cgroup_L5_4811fc0c","calcitriol",4,0,0,"corretta","k=3-4"
"cgroup_L5_49e290ae","cyclosporin A",4,0,0,"corretta","k=3-4"
"cgroup_L5_4be9e90d","PFOS",4,0,0,"corretta","k=3-4"
"cgroup_L5_74daf1c9","oscc",4,1,0,"difettosa","k=3-4"
"cgroup_L5_828ae0cb","TWEAK (TNFSF12)",4,0,0,"corretta","k=3-4"
"cgroup_L5_844de383","sjogren s syndrome",4,0,0,"corretta","k=3-4"
"cgroup_L5_8c9339f5","Zika virus",4,0,0,"corretta","k=3-4"
"cgroup_L5_93068469","5-azacytidine",4,0,0,"corretta","k=3-4"
"cgroup_L5_988d478d","copd",4,0,0,"corretta","k=3-4"
"cgroup_L5_b0066299","keloid",4,0,0,"corretta","k=3-4"
"cgroup_L5_cf34c533","Nutlin-3",4,0,0,"corretta","k=3-4"
"cgroup_L5_d2c64672","romidepsin",4,0,0,"corretta","k=3-4"
"cgroup_L5_e37b838c","Pladienolide B",4,0,0,"corretta","k=3-4"
"cgroup_L5_f34ff8df","etoposide",4,0,0,"corretta","k=3-4"
"cgroup_L5_f956ef98","TCDD",4,0,0,"corretta","k=3-4"
"cgroup_L5_ff45f67e","ionomycin + pma",4,0,0,"corretta","k=3-4"
"cgroup_L5_03d0ca7b","digoxin",3,0,0,"corretta","k=3-4"
"cgroup_L5_05322ba1","omacetaxine",3,0,0,"corretta","k=3-4"
"cgroup_L5_06ff1592","fluoxetine",3,0,0,"corretta","k=3-4"
"cgroup_L5_0dd60753","Abemaciclib",3,0,0,"corretta","k=3-4"
"cgroup_L5_16525349","ponatinib",3,0,0,"corretta","k=3-4"
"cgroup_L5_17b35bdc","docetaxel",3,0,0,"corretta","k=3-4"
"cgroup_L5_17b55386","fshd",3,0,0,"corretta","k=3-4"
"cgroup_L5_1c7b64af","chloroquine",3,0,0,"corretta","k=3-4"
"cgroup_L5_2248a891","forskolin",3,0,0,"corretta","k=3-4"
"cgroup_L5_24ae0579","4'-epidoxorubicin",3,0,0,"corretta","k=3-4"
"cgroup_L5_28bee975","MIVEBRESIB",3,0,0,"corretta","k=3-4"
"cgroup_L5_3370a794","gilteritinib",3,0,0,"corretta","k=3-4"
"cgroup_L5_3437775a","sapanisertib",3,0,0,"corretta","k=3-4"
"cgroup_L5_344e058f","BMP4",3,0,0,"incerta","k=3-4"
"cgroup_L5_356eedd3","trichostatin A",3,0,0,"corretta","k=3-4"
"cgroup_L5_36b956de","ptsd",3,0,0,"incerta","k=3-4"
"cgroup_L5_387b0d1a","Diabetes Mellitus, Type 1",3,0,0,"corretta","k=3-4"
