"cluster_id","esito","scarto_accettazione","n_geni_confronto","n_studi_tolti","n_geni_richiesti","n_geni_confrontati","n_geni_spariti","spearman","n_sig_pieno","n_sig_ridotto","n_sig_persi","n_sig_guadagnati","max_abs_delta_logFC","gene_max_delta","k_pieno","k_ridotto","entita","k","pct_sig_persi"
"cgroup_L5_c548d053","ok",0,19656,3,5088,5083,5,0.945219425326677,5088,4410,678,0,0.345803984527222,"ENSG00000198889",31,28,"lipopolysaccharide",33,13.3254716981132
"cgroup_L5_c860712d","ok",0,15658,1,710,482,228,0.645316741453505,710,353,357,0,0.0794073697738225,"ENSG00000076604",4,3,"cystic fibrosis",4,50.2816901408451
"cgroup_L5_d28620cd","ok",0,16789,1,777,735,42,0.359777711484603,777,162,615,0,0.328179861927074,"ENSG00000198732",4,3,"staurosporine",4,79.1505791505791
"cgroup_L5_d631ee89","ok",0,14395,1,410,392,18,0.586760974806084,410,298,112,0,0.0789118617931445,"ENSG00000155463",4,3,"IL3",4,27.3170731707317
"cgroup_L5_d6fad784","ok",0,18759,1,1274,1251,23,0.32277697606931,1274,124,1150,0,0.471233629334046,"ENSG00000144802",3,2,"myotonic dystrophy type 1",3,90.2668759811617
"cgroup_L5_dde29fb4","ok",0,17031,2,1426,1413,13,0.958536099653225,1426,1339,87,0,0.00521266725228475,"ENSG00000021645",9,8,"hydrogen peroxide",10,6.10098176718093
"cgroup_L5_debadb13","ok",0,15635,1,11,11,0,1,11,11,0,0,0.00310605369398151,"ENSG00000154639",3,3,"hepatitis B virus",4,0
"cgroup_L5_eb5e1e65","ok",0,18605,2,609,592,17,0.722438498299098,609,436,173,0,0.358959156640708,"ENSG00000241394",10,9,"dexamethasone",11,28.4072249589491
"cgroup_L5_f51ff620","ok",0,18109,1,2749,2603,146,0.260991009135926,2749,16,2733,0,0.24044102091642,"ENSG00000278565",3,2,"asthmatic",3,99.4179701709713
"cgroup_L5_f832048f","ok",0,18488,2,3586,3395,191,0.560050951204716,3586,2457,1129,0,0.356705975884889,"ENSG00000168477",4,2,"Breast Neoplasms",4,31.4835471277189
"cgroup_L5_f94b6180","ok",0,18526,1,7956,7953,3,0.969684627011258,7956,7668,288,0,0.206729267403859,"ENSG00000228278",18,17,"R1881 (metribolone)",18,3.61990950226244
"cgroup_L5_fea19ca0","ok",0,17327,2,2109,2064,45,0.624625236853199,2109,1442,667,0,0.267614608188331,"ENSG00000136244",7,5,"IFNB1",7,31.6263632053106
