"contrast_entity","n_gruppi_scartati","studi_slot","gse_superstiti","direzioni","controlli","nome","livello_max","gse_indipendenti","lista_indipendenti","meta214","k_effective_214","n_sig_214"
"HGNC:3676",1,2,2,"gain","vehicle_untreated","ELAVL4","c_assente",0,NA,0,NA,NA
"HGNC:5423",1,2,2,"gain","vehicle_untreated","IFNA2","c_assente",0,NA,0,NA,NA
"MeSH:D000077195",1,2,2,"gain","vehicle_untreated","oral squamous cell carcinoma","c_assente",0,NA,0,NA,NA
"MeSH:D001749",1,2,2,"gain","vehicle_untreated","bladder cancer","c_assente",0,NA,0,NA,NA
"MeSH:D003876",1,2,2,"gain","vehicle_untreated","Atopic Dermatitis","c_assente",0,NA,0,NA,NA
"MeSH:D005909",1,2,2,"gain","vehicle_untreated","Gentamicins","c_assente",0,NA,0,NA,NA
"MeSH:D006519",1,2,2,"gain","vehicle_untreated","Hepatitis, Alcoholic","c_assente",0,NA,0,NA,NA
"MeSH:D010051",1,2,2,"gain","vehicle_untreated","Ovarian Neoplasms","c_assente",0,NA,0,NA,NA
"MeSH:D010634",1,2,2,"gain","vehicle_untreated","Phenobarbital","c_assente",0,NA,0,NA,NA
"MeSH:D011471",1,2,2,"gain","vehicle_untreated","prostate cancer","c_assente",0,NA,0,NA,NA
"MeSH:D012595",1,2,2,"gain","vehicle_untreated","systemic sclerosis","c_assente",0,NA,0,NA,NA
"MeSH:D015451",1,2,2,"gain","vehicle_untreated","chronic lymphocytic leukemia","c_assente",0,NA,0,NA,NA
"MeSH:D016889",1,2,2,"gain","vehicle_untreated","Endometrial Neoplasms","c_assente",0,NA,0,NA,NA
"NCBITaxon:12814",1,2,2,"gain","vehicle_untreated","","c_assente",0,NA,0,NA,NA
"NCBITaxon:851",1,2,2,"gain","vehicle_untreated","fusobacteriumnucleatum","c_assente",0,NA,0,NA,NA
"STR:chronic_periodontitis",1,2,2,"gain","vehicle_untreated","chronic pariodontiits","c_assente",0,NA,0,NA,NA
"STR:cocl2",1,2,2,"gain","vehicle_untreated","cobalt chloride","c_assente",0,NA,0,NA,NA
"STR:epilepsy",1,2,2,"gain","vehicle_untreated","","c_assente",0,NA,0,NA,NA
"STR:fshd1",1,2,2,"gain","vehicle_untreated","Facioscapulohumeral muscular dystrophy","c_assente",0,NA,0,NA,NA
"STR:g007_lk",1,2,2,"gain","vehicle_untreated","colorectal adenocarcinoma","c_assente",0,NA,0,NA,NA
"STR:hypertension",1,2,2,"gain","vehicle_untreated","spinal cord injury","c_assente",0,NA,0,NA,NA
"STR:interferon_alpha",1,2,2,"gain","vehicle_untreated","Interferon-alpha","c_assente",0,NA,0,NA,NA
"STR:lupus",1,2,2,"gain","vehicle_untreated","systemic lupus erythematosus","c_assente",0,NA,0,NA,NA
"STR:multiple_myeloma",1,2,2,"gain","vehicle_untreated_liquid","acute lymphoblastic leukemia","c_assente",0,NA,0,NA,NA
"STR:myotonic_dystrophy_type_1",1,2,2,"gain","vehicle_untreated","","c_assente",0,NA,0,NA,NA
"STR:osteogenic_differentiation",1,2,2,"gain","vehicle_untreated","","c_assente",0,NA,0,NA,NA
"STR:ovarian_tumor",1,2,2,"gain","vehicle_untreated","ovarian cancer","c_assente",0,NA,0,NA,NA
"STR:ptsd",1,2,2,"gain","vehicle_untreated","acute myeloid leukemia","c_assente",0,NA,0,NA,NA
"STR:radiotherapy",1,2,2,"gain","vehicle_untreated","","c_assente",0,NA,0,NA,NA
"STR:rhinovirus",1,2,2,"gain","vehicle_untreated","","c_assente",0,NA,0,NA,NA
"STR:stroke",1,2,2,"gain","vehicle_untreated","stroke","c_assente",0,NA,0,NA,NA
"STR:tuberculosis",1,2,2,"gain","vehicle_untreated","Mycobacterium tuberculosis","c_assente",0,NA,0,NA,NA
"CHEBI:125628",1,1,1,"gain","vehicle_untreated","alisertib","c_assente",0,NA,0,NA,NA
"CHEBI:16796",1,1,1,"gain","vehicle_untreated","hydron","c_assente",0,NA,0,NA,NA
"CHEBI:173109",1,1,1,"gain","vehicle_untreated","RSL3","c_assente",0,NA,0,NA,NA
"CHEBI:176844",1,1,1,"gain","vehicle_untreated","niraparib","c_assente",0,NA,0,NA,NA
"CHEBI:18357",1,1,1,"gain","vehicle_untreated","biotin amide","c_assente",0,NA,0,NA,NA
"CHEBI:230495",1,1,1,"gain","vehicle_untreated","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide","c_assente",0,NA,0,NA,NA
