"cluster_id","k_effective","n_studi_poolati","contrast_entity","contrast_entity_label","contrast_direction","contrast_control_key","k_eff_mio","k_censito","n_studi_censiti","scarto"
"cgroup_L5_81b706c4",3,3,"CHEBI:45863","paclitaxel","gain","vehicle_untreated",3,12,12,0
"cgroup_L5_828ae0cb",4,4,"HGNC:11927","TWEAK (TNFSF12)","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_82f82010",5,5,"STR:diabetic","diabetic","gain","vehicle_untreated",5,6,6,0
"cgroup_L5_8341bee7",3,3,"CHEBI:17026","progesterone","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_83b1f88c",3,3,"CHEBI:61397","neratinib","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_83f57274",25,25,"STR:hypoxia","hypoxia","gain","normoxia",25,37,37,0
"cgroup_L5_840b7e36",3,3,"HGNC:1653","anti-CD3/CD28 stimulation","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_844de383",5,5,"STR:sjogren_s_syndrome","sjogren s syndrome","gain","vehicle_untreated",5,6,6,0
"cgroup_L5_85083e38",10,10,"MeSH:D010300","Parkinson Disease","gain","vehicle_untreated",10,11,11,0
"cgroup_L5_855ca642",3,3,"COMBO:hydrogen+peroxide","hydrogen + peroxide","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_862cd9b9",3,3,"CHEBI:167670","SCH772984","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_871ae09e",34,34,"NCBITaxon:2697049","SARS-CoV-2","gain","vehicle_untreated",34,38,38,0
"cgroup_L5_87c40ebb",20,20,"HGNC:5438","IFNG","gain","vehicle_untreated",20,35,35,0
"cgroup_L5_889ec305",7,7,"MeSH:D015179","Colorectal Neoplasms","gain","vehicle_untreated",7,13,13,0
"cgroup_L5_8958b27a",5,5,"CHEBI:46741","Nutlin","gain","vehicle_untreated",5,7,7,0
"cgroup_L5_8a54ddd6",14,14,"CHEBI:28748","doxorubicin","gain","vehicle_untreated",14,27,27,0
"cgroup_L5_8ac307e0",4,4,"CHEBI:72317","cabozantinib","gain","vehicle_untreated",4,8,8,0
"cgroup_L5_8b61f50b",4,4,"CHEBI:41774","tamoxifen","gain","vehicle_untreated",4,7,7,0
"cgroup_L5_8c9339f5",5,5,"NCBITaxon:64320","Zika virus","gain","vehicle_untreated",5,6,6,0
"cgroup_L5_8eca612e",3,3,"CHEBI:75045","dabrafenib","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_905be893",18,18,"HGNC:5992","IL1B","gain","vehicle_untreated",18,26,26,0
"cgroup_L5_90db4e34",3,3,"CHEBI:17347","testosterone","gain","vehicle_untreated",3,6,6,0
"cgroup_L5_92f4f307",3,3,"CHEBI:64317","isoprenaline","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_93068469",4,4,"CHEBI:2038","5-azacytidine","gain","vehicle_untreated",4,6,6,0
"cgroup_L5_930c8dcf",23,23,"CHEBI:16330","DHT (5alpha-dihydrotestosterone)","gain","vehicle_untreated",23,34,34,0
"cgroup_L5_964c6389",3,3,"MeSH:D006816","Huntington Disease","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_96c9f7bf",4,4,"STR:bipolar_disorder","bipolar disorder","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_988d478d",4,4,"STR:copd","copd","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_99d7941a",5,5,"CHEBI:72564","temozolomide","gain","vehicle_untreated",5,5,5,0
"cgroup_L5_9bb4734d",3,3,"STR:ifnb","ifnb","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_9bdf0dcb",3,3,"STR:ifna","ifna","gain","vehicle_untreated",3,6,6,0
"cgroup_L5_9de3f0ea",3,3,"STR:tb_positive","tb positive","gain","tb negative",3,3,3,0
"cgroup_L5_9f0ea111",3,3,"CHEBI:230484","StemRegenin 1","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_a12414d4",10,10,"CHEBI:16469","17β-estradiol","gain","vehicle_untreated",10,16,16,0
"cgroup_L5_a25d0964",10,10,"HGNC:6018","IL6","gain","vehicle_untreated",10,10,10,0
"cgroup_L5_a32e5eaa",14,14,"CHEBI:50131","5-aza-2'-deoxycytidine","gain","vehicle_untreated",14,31,31,0
"cgroup_L5_a3c3e08c",3,3,"MeSH:D008175","Lung Neoplasms","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_a3f0c959",3,3,"CHEBI:232752","GSK-LSD1","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_a4029927",4,4,"CHEBI:61390","afatinib","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_a69fcae5",4,4,"MeSH:D008180","Lupus Erythematosus, Systemic","gain","vehicle_untreated",4,6,6,0
"cgroup_L5_a6fd82fa",5,5,"CHEBI:44616","afimoxifene","gain","vehicle_untreated",5,9,9,0
