"cluster_id","key","ruolo","contrast_entity","contrast_direction","contrast_control_key","k","n_studies","level"
"cgroup_L5_844de383","STR:sjogren_s_syndrome||gain","vincente","STR:sjogren_s_syndrome","gain","vehicle_untreated",6,6,5
"cgroup_L5_84b52570","CHEBI:231344||gain","vincente","CHEBI:231344","gain","vehicle_untreated",3,3,5
"cgroup_L5_85083e38","MeSH:D010300||gain","vincente","MeSH:D010300","gain","vehicle_untreated",11,11,5
"cgroup_L5_855ca642","COMBO:hydrogen+peroxide||gain","vincente","COMBO:hydrogen+peroxide","gain","vehicle_untreated",3,3,5
"cgroup_L5_862cd9b9","CHEBI:167670||gain","vincente","CHEBI:167670","gain","vehicle_untreated",3,3,5
"cgroup_L5_86417b40","CHEBI:140908||gain","vincente","CHEBI:140908","gain","vehicle_untreated",3,3,5
"cgroup_L5_87135459","CHEBI:91414||gain","vincente","CHEBI:91414","gain","vehicle_untreated",3,3,5
"cgroup_L5_871ae09e","NCBITaxon:2697049||gain","vincente","NCBITaxon:2697049","gain","vehicle_untreated",38,38,5
"cgroup_L5_87c40ebb","HGNC:5438||gain","vincente","HGNC:5438","gain","vehicle_untreated",35,35,5
"cgroup_L5_889ec305","MeSH:D015179||gain","vincente","MeSH:D015179","gain","vehicle_untreated",13,13,5
"cgroup_L5_8958b27a","CHEBI:46741||gain","vincente","CHEBI:46741","gain","vehicle_untreated",7,7,5
"cgroup_L5_89b5ca86","NCBITaxon:2697049||gain","scartato","NCBITaxon:2697049","gain","uninfected",3,3,5
"cgroup_L5_8a54ddd6","CHEBI:28748||gain","vincente","CHEBI:28748","gain","vehicle_untreated",27,27,5
"cgroup_L5_8ac307e0","CHEBI:72317||gain","vincente","CHEBI:72317","gain","vehicle_untreated",8,8,5
"cgroup_L5_8b61f50b","CHEBI:41774||gain","vincente","CHEBI:41774","gain","vehicle_untreated",7,7,5
"cgroup_L5_8b65b3ff","CHEBI:233363||gain","vincente","CHEBI:233363","gain","vehicle_untreated",4,4,5
"cgroup_L5_8be26844","CHEBI:16796||gain","vincente","CHEBI:16796","gain","vehicle_untreated",4,4,5
"cgroup_L5_8c9339f5","NCBITaxon:64320||gain","vincente","NCBITaxon:64320","gain","vehicle_untreated",6,6,5
"cgroup_L5_8e775709","CHEBI:145431||gain","vincente","CHEBI:145431","gain","vehicle_untreated",4,4,5
"cgroup_L5_8eca612e","CHEBI:75045||gain","vincente","CHEBI:75045","gain","vehicle_untreated",4,4,5
"cgroup_L5_8f29463d","CHEBI:50729||gain","vincente","CHEBI:50729","gain","vehicle_untreated",3,3,5
"cgroup_L5_905be893","HGNC:5992||gain","vincente","HGNC:5992","gain","vehicle_untreated",26,26,5
"cgroup_L5_90db4e34","CHEBI:17347||gain","vincente","CHEBI:17347","gain","vehicle_untreated",6,6,5
"cgroup_L5_9132f546","HGNC:5423||gain","vincente","HGNC:5423","gain","vehicle_untreated",3,3,5
"cgroup_L5_92f4f307","CHEBI:64317||gain","vincente","CHEBI:64317","gain","vehicle_untreated",3,3,5
"cgroup_L5_93068469","CHEBI:2038||gain","vincente","CHEBI:2038","gain","vehicle_untreated",6,6,5
"cgroup_L5_930c8dcf","CHEBI:16330||gain","vincente","CHEBI:16330","gain","vehicle_untreated",34,34,5
"cgroup_L5_964c6389","MeSH:D006816||gain","vincente","MeSH:D006816","gain","vehicle_untreated",4,4,5
"cgroup_L5_96c9f7bf","STR:bipolar_disorder||gain","vincente","STR:bipolar_disorder","gain","vehicle_untreated",4,4,5
"cgroup_L5_97da8b42","STR:hypertension||gain","vincente","STR:hypertension","gain","vehicle_untreated",3,3,5
"cgroup_L5_988d478d","STR:copd||gain","vincente","STR:copd","gain","vehicle_untreated",4,4,5
"cgroup_L5_99d7941a","CHEBI:72564||gain","vincente","CHEBI:72564","gain","vehicle_untreated",5,5,5
"cgroup_L5_9bb4734d","STR:ifnb||gain","vincente","STR:ifnb","gain","vehicle_untreated",5,5,5
"cgroup_L5_9bdf0dcb","STR:ifna||gain","vincente","STR:ifna","gain","vehicle_untreated",6,6,5
"cgroup_L5_9de3f0ea","STR:tb_positive||gain","vincente","STR:tb_positive","gain","tb negative",3,3,5
"cgroup_L5_9f0ea111","CHEBI:230484||gain","vincente","CHEBI:230484","gain","vehicle_untreated",4,4,5
"cgroup_L5_9f293ec3","CHEBI:9150||gain","vincente","CHEBI:9150","gain","vehicle_untreated",3,3,5
"cgroup_L5_9f34eb99","COMBO:indisulam+palbociclib||gain","vincente","COMBO:indisulam+palbociclib","gain","vehicle_untreated",3,3,5
"cgroup_L5_a12414d4","CHEBI:16469||gain","vincente","CHEBI:16469","gain","vehicle_untreated",16,16,5
"cgroup_L5_a25d0964","HGNC:6018||gain","vincente","HGNC:6018","gain","vehicle_untreated",10,10,5
"cgroup_L5_a3112513","CHEBI:8228||gain","vincente","CHEBI:8228","gain","vehicle_untreated",3,3,5
"cgroup_L5_a32e5eaa","CHEBI:50131||gain","vincente","CHEBI:50131","gain","vehicle_untreated",31,31,5
"cgroup_L5_a3c3e08c","MeSH:D008175||gain","vincente","MeSH:D008175","gain","vehicle_untreated",5,5,5
"cgroup_L5_a3f0c959","CHEBI:232752||gain","vincente","CHEBI:232752","gain","vehicle_untreated",4,4,5
"cgroup_L5_a4029927","CHEBI:61390||gain","vincente","CHEBI:61390","gain","vehicle_untreated",4,4,5
"cgroup_L5_a48d6990","CHEBI:25255||gain","vincente","CHEBI:25255","gain","vehicle_untreated",4,4,5
"cgroup_L5_a69fcae5","MeSH:D008180||gain","vincente","MeSH:D008180","gain","vehicle_untreated",6,6,5
"cgroup_L5_a6fd82fa","CHEBI:44616||gain","vincente","CHEBI:44616","gain","vehicle_untreated",9,9,5
"cgroup_L5_a739837c","STR:adenoma||gain","vincente","STR:adenoma","gain","vehicle_untreated",4,4,5
"cgroup_L5_a747a14e","STR:pm2_5||gain","vincente","STR:pm2_5","gain","vehicle_untreated",4,4,5
"cgroup_L5_a7509255","NCBITaxon:1280||gain","vincente","NCBITaxon:1280","gain","vehicle_untreated",4,4,5
"cgroup_L5_a8015c98","CHEBI:175901||gain","vincente","CHEBI:175901","gain","vehicle_untreated",7,7,5
"cgroup_L5_a8d88150","CHEBI:85994||gain","vincente","CHEBI:85994","gain","vehicle_untreated",5,5,5
