"cluster_id","k_max","k_med","frac_al_max"
"cgroup_L5_c860712d",5,4,0.443130171308705
"cgroup_L5_cacf5d1a",3,3,0.843339849204133
"cgroup_L5_cf34c533",3,3,0.729578414839798
"cgroup_L5_cfad03a8",3,3,0.534747184279895
"cgroup_L5_d28620cd",3,3,0.861575772650955
"cgroup_L5_d2c64672",4,4,0.738629545181807
"cgroup_L5_d411c435",5,5,0.614471669218989
"cgroup_L5_d53bf74e",3,3,0.913687493039314
"cgroup_L5_d5e39a5d",4,4,0.841743251835154
"cgroup_L5_d631ee89",3,3,0.811040819400512
"cgroup_L5_d7abf612",3,3,0.750839533811813
"cgroup_L5_d7ad915e",7,7,0.624565972222222
"cgroup_L5_d8006c5b",3,3,0.838087948789313
"cgroup_L5_d9e23e09",32,31,0.423450064850843
"cgroup_L5_dc7451b1",7,7,0.554162457662368
"cgroup_L5_dcce160a",4,3,0.402702207006175
"cgroup_L5_dd2a13de",3,3,0.508408357397656
"cgroup_L5_dd2a1a58",5,5,0.778289327712447
"cgroup_L5_dde29fb4",8,8,0.59855911184599
"cgroup_L5_debadb13",3,3,0.665945449777078
"cgroup_L5_df599af1",5,4,0.484036763816665
"cgroup_L5_e16bfa7f",3,3,0.808698702209751
"cgroup_L5_e17c136b",3,3,0.837370010063737
"cgroup_L5_e294a3bc",3,3,0.846866889136077
"cgroup_L5_e7eebebd",3,3,0.887791316692299
"cgroup_L5_ea4a1823",3,3,0.871411933959033
"cgroup_L5_eb5e1e65",13,13,0.527703924279485
"cgroup_L5_eba39954",4,4,0.705802968960864
"cgroup_L5_ee94648c",3,3,0.82828772099782
"cgroup_L5_eedd08cb",3,3,0.905920281359906
"cgroup_L5_efced505",9,8,0.382212780616639
"cgroup_L5_f2139c4f",3,3,0.848338692390139
"cgroup_L5_f2481870",3,3,0.854248563652858
"cgroup_L5_f29dd3b3",5,5,0.599941690962099
"cgroup_L5_f34ff8df",3,3,0.641073450089898
"cgroup_L5_f51ff620",4,4,0.874398202631861
"cgroup_L5_f56d966d",3,3,0.881035967410744
"cgroup_L5_f640365a",3,3,0.799621311047271
"cgroup_L5_f832048f",5,5,0.777915365564768
"cgroup_L5_f94b6180",22,22,0.596156934111224
"cgroup_L5_f956ef98",5,5,0.707927327591626
"cgroup_L5_f97e50de",8,8,0.513832451989981
"cgroup_L5_f9cc41b3",3,3,0.848266925817946
"cgroup_L5_fd0c6a79",4,4,0.664263986245206
"cgroup_L5_fea19ca0",3,3,0.868246893571043
"cgroup_L5_ff45f67e",3,3,0.840307545757638
"cgroup_L5_ff78d2a8",3,3,0.779101283880171
