"cluster_id","original_k","qc_final_k","original_n_studies","qc_final_n_studies","reason","reason_keff","k_eff_dichiarato","k_eff_mio","scarto"
"cgroup_L5_2618c026",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_0dd60753",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_8b65b3ff",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_f01e9f74",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_a48d6990",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_fde7b89b",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","0",0,0,0
"cgroup_L5_57810d6c",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_26c302f6",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_3d3658ad",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_60d9a5bf",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_1c7b64af",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_8078374b",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_f97e665a",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_62404e11",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_ff04c7c1",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_ebd83cd1",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_d800c4f2",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_451ecb56",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_8f29463d",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_06ff1592",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_759892f5",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_cbc935db",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_b80b0368",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_6ac5ea3a",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
