"cluster_id","k_effective","n_studi_poolati","n_studi_censiti","k","k_eff_mio"
"cgroup_L5_b0066299",4,4,10,10,4
"cgroup_L5_b2affd22",6,6,9,9,6
"cgroup_L5_b32ab7f6",9,9,12,12,9
"cgroup_L5_b3ccf1c1",3,3,3,3,3
"cgroup_L5_b5db4aff",4,4,5,5,4
"cgroup_L5_b6b8bc00",15,15,26,26,15
"cgroup_L5_b71a25a2",25,25,41,41,25
"cgroup_L5_b9c77320",4,4,6,6,4
"cgroup_L5_b9e7806c",3,3,7,7,3
"cgroup_L5_ba4af011",7,7,7,7,7
"cgroup_L5_bb8cb388",7,7,9,9,7
"cgroup_L5_bd19fe42",9,9,11,11,9
"cgroup_L5_bd40f34f",3,3,4,4,3
"cgroup_L5_be15b706",12,12,15,15,12
"cgroup_L5_c040a36d",4,4,5,5,4
"cgroup_L5_c054e202",6,6,8,8,6
"cgroup_L5_c0d1d837",19,19,29,29,19
"cgroup_L5_c13b1103",5,5,5,5,5
"cgroup_L5_c3ae78cd",10,10,16,16,10
"cgroup_L5_c548d053",35,35,50,50,35
"cgroup_L5_c5e86fe9",7,7,15,15,7
"cgroup_L5_c860712d",5,5,7,7,5
"cgroup_L5_cacf5d1a",3,3,3,3,3
"cgroup_L5_cf34c533",3,3,5,5,3
"cgroup_L5_cfad03a8",3,3,5,5,3
"cgroup_L5_d28620cd",3,3,3,3,3
"cgroup_L5_d2c64672",4,4,6,6,4
"cgroup_L5_d411c435",5,5,6,6,5
"cgroup_L5_d53bf74e",3,3,3,3,3
"cgroup_L5_d5e39a5d",4,4,4,4,4
"cgroup_L5_d631ee89",3,3,4,4,3
"cgroup_L5_d7abf612",3,3,3,3,3
"cgroup_L5_d7ad915e",7,7,8,8,7
"cgroup_L5_d8006c5b",3,3,4,4,3
"cgroup_L5_d9e23e09",32,32,41,41,32
"cgroup_L5_dc7451b1",7,7,8,8,7
"cgroup_L5_dcce160a",4,4,5,5,4
"cgroup_L5_dd2a13de",3,3,7,7,3
"cgroup_L5_dd2a1a58",5,5,6,6,5
"cgroup_L5_dde29fb4",8,8,20,20,8
"cgroup_L5_debadb13",3,3,4,4,3
"cgroup_L5_df599af1",5,5,7,7,5
"cgroup_L5_e16bfa7f",3,3,3,3,3
"cgroup_L5_e17c136b",3,3,4,4,3
"cgroup_L5_e294a3bc",3,3,5,5,3
"cgroup_L5_e7eebebd",3,3,3,3,3
"cgroup_L5_ea4a1823",3,3,3,3,3
"cgroup_L5_eb5e1e65",13,13,20,20,13
"cgroup_L5_eba39954",4,4,5,5,4
"cgroup_L5_ee94648c",3,3,6,6,3
"cgroup_L5_eedd08cb",3,3,4,4,3
"cgroup_L5_efced505",9,9,11,11,9
"cgroup_L5_f2139c4f",3,3,3,3,3
"cgroup_L5_f2481870",3,3,3,3,3
"cgroup_L5_f29dd3b3",5,5,7,7,5
"cgroup_L5_f34ff8df",3,3,13,13,3
"cgroup_L5_f51ff620",4,4,4,4,4
"cgroup_L5_f56d966d",3,3,4,4,3
"cgroup_L5_f640365a",3,3,4,4,3
"cgroup_L5_f832048f",5,5,6,6,5
"cgroup_L5_f94b6180",22,22,26,26,22
"cgroup_L5_f956ef98",5,5,7,7,5
"cgroup_L5_f97e50de",8,8,11,11,8
"cgroup_L5_f9cc41b3",3,3,3,3,3
"cgroup_L5_fd0c6a79",4,4,5,5,4
"cgroup_L5_fea19ca0",3,3,4,4,3
"cgroup_L5_ff45f67e",3,3,5,5,3
"cgroup_L5_ff78d2a8",3,3,5,5,3
