"cluster_id","entita","k","classe_registro","antenato_di_membro","str_stato_o_ombrello","non_entita"
"cgroup_L5_56c1ad92","CHEBI:205761",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_575406ff","MeSH:D002062",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_581f485a","CHEBI:234609",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_5a25a379","CHEBI:6920",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_5a3000e0","MeSH:D015427",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_5bad458c","NCBITaxon:1763",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_5bcd0014","CHEBI:165822",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_5c1ecc06","CHEBI:195368",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_5c923239","MeSH:D057229",2,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_5cb3ee92","MeSH:D001943",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_5ced78bb","CHEBI:88542",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_5ddb6688","CHEBI:192461",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_5e034ad9","CHEBI:746962",2,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_5e784173","CHEBI:168442+CHEBI:234554",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_616ccdfc","CHEBI:80551",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_626326f1","CHEBI:231357",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_6272bc17","MeSH:D012393",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_6414ee48","CHEBI:17883+CHEBI:231346",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_64181991","MeSH:D010190",2,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_644bb96c","CHEBI:4021",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_64f8e1a5","CHEBI:232547",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_65cde559","CHEBI:230483",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_66bb253a","CHEBI:233224",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_670e3218","MeSH:D015444",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_69451ebd","CHEBI:231555",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_695b06de","CHEBI:177783",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_69a15024","CHEBI:135598",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_6a50ccc5","CHEBI:6954",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_6ac5ea3a","CHEBI:68747",4,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_6be81d1b","CHEBI:231683",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_6bf9e945","MeSH:D014947",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_6ce9535a","NCBITaxon:10358",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_6d05fa6b","CHEBI:231695",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_6d116d81","CHEBI:232492",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_6d58c751","MeSH:D008113",3,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_6dd6cb3d","CHEBI:230486",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_6e2495df","CHEBI:232544",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_6e2a6d79","MeSH:D006980",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_6f3f556c","CHEBI:7566",1,"chebi_non_curata",FALSE,FALSE,TRUE
