"cluster_id","ent","canon","verso","ck","kk"
"cgroup_L5_b32ab7f6","HGNC:5981","HGNC:5981","gain","vehicle_untreated",9
"cgroup_L5_bd19fe42","MeSH:D006528","MeSH:D006528","gain","vehicle_untreated",9
"cgroup_L5_efced505","CHEBI:38940","CHEBI:38940","gain","vehicle_untreated",9
"cgroup_L5_12212e41","STR:multiple_sclerosis","STR:multiple_sclerosis","gain","vehicle_untreated",8
"cgroup_L5_2ec87595","CHEBI:6801","CHEBI:6801","gain","vehicle_untreated",8
"cgroup_L5_35d1be10","STR:nutlin_3a","STR:nutlin_3a","gain","vehicle_untreated",8
"cgroup_L5_41f7b088","CHEBI:49668","CHEBI:49668","gain","vehicle_untreated",8
"cgroup_L5_dde29fb4","CHEBI:16240","CHEBI:16240","gain","vehicle_untreated",8
"cgroup_L5_f97e50de","CHEBI:64310","CHEBI:64310","gain","vehicle_untreated",8
"cgroup_L5_2987cdb6","CHEBI:114785","CHEBI:114785","gain","vehicle_untreated",7
"cgroup_L5_3ec58cd6","STR:obese","STR:obese","gain","vehicle_untreated",7
"cgroup_L5_46a3a103","STR:radiation","STR:radiation","gain","vehicle_untreated",7
"cgroup_L5_4753688f","STR:r5020","STR:r5020","gain","vehicle_untreated",7
"cgroup_L5_7805eee6","STR:covid_19","STR:covid_19","gain","vehicle_untreated",7
"cgroup_L5_79a73ac5","NCBITaxon:11320","NCBITaxon:11320","gain","vehicle_untreated",7
"cgroup_L5_889ec305","MeSH:D015179","MeSH:D015179","gain","vehicle_untreated",7
"cgroup_L5_ba4af011","STR:irradiation","STR:irradiation","gain","vehicle_untreated",7
"cgroup_L5_bb8cb388","STR:endometriosis","STR:endometriosis","gain","vehicle_untreated",7
"cgroup_L5_c5e86fe9","CHEBI:83766","CHEBI:83766","gain","vehicle_untreated",7
"cgroup_L5_d7ad915e","CHEBI:39867","CHEBI:39867","gain","vehicle_untreated",7
"cgroup_L5_dc7451b1","CHEBI:230493","CHEBI:230493","gain","vehicle_untreated",7
"cgroup_L5_1bbf4b9b","MeSH:D013274","MeSH:D013274","gain","vehicle_untreated",6
"cgroup_L5_29cb04f8","CHEBI:46345","CHEBI:46345","gain","vehicle_untreated",6
"cgroup_L5_2ab433c8","HGNC:14900","HGNC:14900","gain","vehicle_untreated",6
"cgroup_L5_3824dc37","STR:nash","STR:nash","gain","vehicle_untreated",6
"cgroup_L5_3b91a21d","MeSH:D009362","MeSH:D009362","gain","vehicle_untreated",6
"cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","HGNC:11892","gain","vehicle_untreated",6
"cgroup_L5_63e69fdc","MeSH:D000544","MeSH:D000544","gain","vehicle_untreated",6
"cgroup_L5_7784bb43","STR:pcos","STR:pcos","gain","vehicle_untreated",6
"cgroup_L5_79ce3bd1","CHEBI:3139","CHEBI:3139","gain","vehicle_untreated",6
"cgroup_L5_b2affd22","MeSH:D011225","MeSH:D011225","gain","vehicle_untreated",6
"cgroup_L5_c054e202","CHEBI:9168","CHEBI:9168","gain","vehicle_untreated",6
"cgroup_L5_004d293d","CHEBI:49603","CHEBI:49603","gain","vehicle_untreated",5
"cgroup_L5_089ccae5","CHEBI:52717","CHEBI:52717","gain","vehicle_untreated",5
"cgroup_L5_12228932","HGNC:3229","HGNC:3229","gain","vehicle_untreated",5
"cgroup_L5_31308596","CHEBI:37537","CHEBI:37537","gain","vehicle_untreated",5
"cgroup_L5_3eaa92c9","CHEBI:50122","CHEBI:50122","gain","vehicle_untreated",5
"cgroup_L5_4041e3af","CHEBI:95077","CHEBI:95077","gain","vehicle_untreated",5
"cgroup_L5_479c6221","CHEBI:124921","CHEBI:124921","gain","vehicle_untreated",5
"cgroup_L5_82f82010","STR:diabetic","STR:diabetic","gain","vehicle_untreated",5
"cgroup_L5_844de383","STR:sjogren_s_syndrome","STR:sjogren_s_syndrome","gain","vehicle_untreated",5
"cgroup_L5_8958b27a","CHEBI:46741","CHEBI:46741","gain","vehicle_untreated",5
"cgroup_L5_8c9339f5","NCBITaxon:64320","NCBITaxon:64320","gain","vehicle_untreated",5
"cgroup_L5_99d7941a","CHEBI:72564","CHEBI:72564","gain","vehicle_untreated",5
"cgroup_L5_a6fd82fa","CHEBI:44616","CHEBI:44616","gain","vehicle_untreated",5
"cgroup_L5_a8015c98","CHEBI:175901","CHEBI:175901","gain","vehicle_untreated",5
"cgroup_L5_a8ff7b6d","STR:atra","STR:atra","gain","vehicle_untreated",5
"cgroup_L5_aa8c1d6d","CHEBI:230508","CHEBI:230508","gain","vehicle_untreated",5
"cgroup_L5_c13b1103","MeSH:D065626","MeSH:D065626","gain","vehicle_untreated",5
"cgroup_L5_c860712d","STR:cystic_fibrosis","STR:cystic_fibrosis","gain","vehicle_untreated",5
"cgroup_L5_d411c435","CHEBI:29699","CHEBI:29699","gain","vehicle_untreated",5
"cgroup_L5_dd2a1a58","STR:heart_failure","STR:heart_failure","gain","vehicle_untreated",5
"cgroup_L5_df599af1","STR:sepsis","STR:sepsis","gain","vehicle_untreated",5
"cgroup_L5_f29dd3b3","MeSH:D001172","MeSH:D001172","gain","vehicle_untreated",5
"cgroup_L5_f832048f","MeSH:D001943","MeSH:D001943","gain","vehicle_untreated",5
"cgroup_L5_f956ef98","CHEBI:28119","CHEBI:28119","gain","vehicle_untreated",5
"cgroup_L5_10344dfd","CHEBI:4167","CHEBI:4167","gain","vehicle_untreated",4
"cgroup_L5_16525349","CHEBI:78543","CHEBI:78543","gain","vehicle_untreated",4
"cgroup_L5_17b35bdc","CHEBI:4672","CHEBI:4672","gain","vehicle_untreated",4
"cgroup_L5_17b55386","STR:fshd","STR:fshd","gain","vehicle_untreated",4
"cgroup_L5_2a225fda","STR:asthma","STR:asthma","gain","vehicle_untreated",4
"cgroup_L5_3370a794","CHEBI:145372","CHEBI:145372","gain","vehicle_untreated",4
"cgroup_L5_3439da02","CHEBI:68478","CHEBI:68478","gain","vehicle_untreated",4
"cgroup_L5_37942548","CHEBI:15367","CHEBI:15367","gain","vehicle_untreated",4
"cgroup_L5_37ecd157","STR:vegf","STR:vegf","gain","vehicle_untreated",4
"cgroup_L5_3973fe03","HGNC:5991","HGNC:5991","gain","vehicle_untreated",4
"cgroup_L5_3a625868","CHEBI:231601","CHEBI:231601","gain","vehicle_untreated",4
"cgroup_L5_3b461817","CHEBI:52172","CHEBI:52172","gain","vehicle_untreated",4
"cgroup_L5_3d8c29f4","HGNC:6001","HGNC:6001","gain","vehicle_untreated",4
"cgroup_L5_3f0cc1fe","MeSH:D003093","MeSH:D003093","gain","vehicle_untreated",4
"cgroup_L5_49e290ae","CHEBI:4031","CHEBI:4031","gain","vehicle_untreated",4
"cgroup_L5_4be9e90d","CHEBI:39421","CHEBI:39421","gain","vehicle_untreated",4
"cgroup_L5_522fa0c2","STR:sals","STR:sals","gain","vehicle_untreated",4
"cgroup_L5_538960a6","NCBITaxon:1773","NCBITaxon:1773","gain","vehicle_untreated",4
"cgroup_L5_5927750b","CHEBI:65347","CHEBI:65347","gain","vehicle_untreated",4
"cgroup_L5_5e0c0fae","CHEMBL:CHEMBL1201576","CHEMBL:CHEMBL1201576","gain","vehicle_untreated",4
"cgroup_L5_74daf1c9","STR:oscc","STR:oscc","gain","vehicle_untreated",4
"cgroup_L5_828ae0cb","HGNC:11927","HGNC:11927","gain","vehicle_untreated",4
"cgroup_L5_8ac307e0","CHEBI:72317","CHEBI:72317","gain","vehicle_untreated",4
"cgroup_L5_8b61f50b","CHEBI:41774","CHEBI:41774","gain","vehicle_untreated",4
"cgroup_L5_93068469","CHEBI:2038","CHEBI:2038","gain","vehicle_untreated",4
"cgroup_L5_96c9f7bf","STR:bipolar_disorder","STR:bipolar_disorder","gain","vehicle_untreated",4
"cgroup_L5_988d478d","STR:copd","STR:copd","gain","vehicle_untreated",4
"cgroup_L5_a4029927","CHEBI:61390","CHEBI:61390","gain","vehicle_untreated",4
"cgroup_L5_a69fcae5","MeSH:D008180","MeSH:D008180","gain","vehicle_untreated",4
"cgroup_L5_a747a14e","STR:pm2_5","STR:pm2_5","gain","vehicle_untreated",4
"cgroup_L5_a7509255","NCBITaxon:1280","NCBITaxon:1280","gain","vehicle_untreated",4
"cgroup_L5_a8d88150","CHEBI:85994","CHEBI:85994","gain","vehicle_untreated",4
"cgroup_L5_ae11259e","CHEBI:71200","CHEBI:71200","gain","vehicle_untreated",4
"cgroup_L5_b0066299","STR:keloid","STR:keloid","gain","vehicle_untreated",4
"cgroup_L5_b5db4aff","CHEBI:229764","CHEBI:229764","gain","vehicle_untreated",4
"cgroup_L5_b9c77320","NCBITaxon:11676","NCBITaxon:11676","gain","vehicle_untreated",4
"cgroup_L5_c040a36d","MeSH:D002292","MeSH:D002292","gain","vehicle_untreated",4
"cgroup_L5_d2c64672","CHEBI:61080","CHEBI:61080","gain","vehicle_untreated",4
"cgroup_L5_d5e39a5d","STR:sarcopenia","STR:sarcopenia","gain","vehicle_untreated",4
"cgroup_L5_dcce160a","CHEBI:41977","CHEBI:41977","gain","vehicle_untreated",4
"cgroup_L5_eba39954","MeSH:D000074285","MeSH:D000074285","gain","non smoker",4
"cgroup_L5_f51ff620","STR:asthmatic","STR:asthmatic","gain","vehicle_untreated",4
"cgroup_L5_fd0c6a79","CHEBI:68647","CHEBI:68647","gain","vehicle_untreated",4
"cgroup_L5_00fd9348","CHEBI:8499","CHEBI:8499","gain","vehicle_untreated",3
"cgroup_L5_034592d9","NCBITaxon:1282","NCBITaxon:1282","gain","vehicle_untreated",3
"cgroup_L5_03d0ca7b","CHEBI:4551","CHEBI:4551","gain","vehicle_untreated",3
"cgroup_L5_05322ba1","CHEBI:71019","CHEBI:71019","gain","vehicle_untreated",3
"cgroup_L5_1e8a735e","CHEBI:9516","CHEBI:9516","gain","vehicle_untreated",3
"cgroup_L5_2248a891","CHEBI:42471","CHEBI:42471","gain","vehicle_untreated",3
"cgroup_L5_24ae0579","CHEBI:47898","CHEBI:47898","gain","vehicle_untreated",3
"cgroup_L5_28bee975","CHEMBL:CHEMBL3987016","CHEMBL:CHEMBL3987016","gain","vehicle_untreated",3
"cgroup_L5_2d53def6","HGNC:6005","HGNC:6005","gain","vehicle_untreated",3
"cgroup_L5_344e058f","HGNC:1071","HGNC:1071","gain","vehicle_untreated",3
"cgroup_L5_356eedd3","CHEBI:46024","CHEBI:46024","gain","vehicle_untreated",3
"cgroup_L5_3668c2c2","CHEMBL:CHEMBL4297771","CHEMBL:CHEMBL4297771","gain","vehicle_untreated",3
"cgroup_L5_387b0d1a","MeSH:D003922","MeSH:D003922","gain","vehicle_untreated",3
"cgroup_L5_3a58e5f5","CHEBI:15551","CHEBI:15551","gain","vehicle_untreated",3
"cgroup_L5_3be7454c","HGNC:5417","HGNC:5417","gain","vehicle_untreated",3
"cgroup_L5_3de56a79","STR:pdac","STR:pdac","gain","vehicle_untreated",3
"cgroup_L5_3fa847fe","STR:osteoarthritis","STR:osteoarthritis","gain","vehicle_untreated",3
"cgroup_L5_455fe91d","CHEBI:86193","CHEBI:86193","gain","vehicle_untreated",3
"cgroup_L5_469db990","STR:nahs","STR:nahs","gain","vehicle_untreated",3
"cgroup_L5_4d535f25","STR:ykl_5_124","STR:ykl_5_124","gain","vehicle_untreated",3
"cgroup_L5_516200d1","CHEBI:29073","CHEBI:29073","gain","vehicle_untreated",3
"cgroup_L5_522e9ebd","STR:keratoconus","STR:keratoconus","gain","vehicle_untreated",3
"cgroup_L5_523e64b9","CHEBI:67271","CHEBI:67271","gain","vehicle_untreated",3
"cgroup_L5_545a48c6","MeSH:D000077192","MeSH:D000077192","gain","vehicle_untreated",3
"cgroup_L5_56d531e8","CHEBI:17154","CHEBI:17154","gain","vehicle_untreated",3
"cgroup_L5_5929f298","STR:snx631","STR:snx631","gain","vehicle_untreated",3
"cgroup_L5_5b9a08fb","CHEBI:44185","CHEBI:44185","gain","vehicle_untreated",3
"cgroup_L5_5d97d5b1","CHEBI:59132","CHEBI:59132","gain","vehicle_untreated",3
"cgroup_L5_6b7b8076","MeSH:D000077273","MeSH:D000077273","gain","vehicle_untreated",3
"cgroup_L5_6ee86f02","MeSH:D013167","MeSH:D013167","gain","vehicle_untreated",3
"cgroup_L5_729b276d","MeSH:D016640","MeSH:D016640","gain","vehicle_untreated",3
"cgroup_L5_79b3a442","STR:cteph","STR:cteph","gain","vehicle_untreated",3
"cgroup_L5_81b706c4","CHEBI:45863","CHEBI:45863","gain","vehicle_untreated",3
"cgroup_L5_8341bee7","CHEBI:17026","CHEBI:17026","gain","vehicle_untreated",3
"cgroup_L5_83b1f88c","CHEBI:61397","CHEBI:61397","gain","vehicle_untreated",3
"cgroup_L5_840b7e36","HGNC:1653","HGNC:1653","gain","vehicle_untreated",3
"cgroup_L5_855ca642","COMBO:hydrogen+peroxide","COMBO:hydrogen+peroxide","gain","vehicle_untreated",3
"cgroup_L5_862cd9b9","CHEBI:167670","CHEBI:167670","gain","vehicle_untreated",3
"cgroup_L5_8eca612e","CHEBI:75045","CHEBI:75045","gain","vehicle_untreated",3
"cgroup_L5_90db4e34","CHEBI:17347","CHEBI:17347","gain","vehicle_untreated",3
"cgroup_L5_92f4f307","CHEBI:64317","CHEBI:64317","gain","vehicle_untreated",3
"cgroup_L5_964c6389","MeSH:D006816","MeSH:D006816","gain","vehicle_untreated",3
"cgroup_L5_9bb4734d","STR:ifnb","STR:ifnb","gain","vehicle_untreated",3
"cgroup_L5_9bdf0dcb","STR:ifna","STR:ifna","gain","vehicle_untreated",3
"cgroup_L5_9de3f0ea","STR:tb_positive","STR:tb_positive","gain","tb negative",3
"cgroup_L5_9f0ea111","CHEBI:230484","CHEBI:230484","gain","vehicle_untreated",3
"cgroup_L5_a3c3e08c","MeSH:D008175","MeSH:D008175","gain","vehicle_untreated",3
"cgroup_L5_a3f0c959","CHEBI:232752","CHEBI:232752","gain","vehicle_untreated",3
"cgroup_L5_a739837c","STR:adenoma","STR:adenoma","gain","vehicle_untreated",3
"cgroup_L5_aad8ed47","COMBO:taz+yap","COMBO:taz+yap","block","control sirna",3
"cgroup_L5_ae969461","CHEBI:47458","CHEBI:47458","gain","vehicle_untreated",3
"cgroup_L5_b3ccf1c1","CHEBI:49960","CHEBI:49960","gain","vehicle_untreated",3
"cgroup_L5_b9e7806c","CHEBI:143122","CHEBI:143122","gain","vehicle_untreated",3
"cgroup_L5_bd40f34f","HGNC:5977","HGNC:5977","gain","vehicle_untreated",3
"cgroup_L5_cacf5d1a","STR:f_nucleatum","STR:f_nucleatum","gain","vehicle_untreated",3
"cgroup_L5_cf34c533","CHEBI:46742","CHEBI:46742","gain","vehicle_untreated",3
"cgroup_L5_cfad03a8","STR:hepatoblastoma","STR:hepatoblastoma","gain","vehicle_untreated",3
"cgroup_L5_d28620cd","CHEBI:15738","CHEBI:15738","gain","vehicle_untreated",3
"cgroup_L5_d53bf74e","MeSH:D008224","MeSH:D008224","gain","vehicle_untreated",3
"cgroup_L5_d631ee89","HGNC:6011","HGNC:6011","gain","vehicle_untreated",3
"cgroup_L5_d7abf612","CHEBI:28201","CHEBI:28201","gain","vehicle_untreated",3
"cgroup_L5_d8006c5b","CHEBI:31941","CHEBI:31941","gain","vehicle_untreated",3
"cgroup_L5_dd2a13de","STR:idiopathic_pulmonary_fibrosis","STR:idiopathic_pulmonary_fibrosis","gain","vehicle_untreated",3
"cgroup_L5_debadb13","NCBITaxon:10407","NCBITaxon:10407","gain","vehicle_untreated",3
"cgroup_L5_e16bfa7f","CHEMBL:CHEMBL4297454","CHEMBL:CHEMBL4297454","gain","vehicle_untreated",3
"cgroup_L5_e17c136b","CHEBI:145535","CHEBI:145535","gain","vehicle_untreated",3
"cgroup_L5_e294a3bc","CHEBI:49852","CHEBI:49852","gain","vehicle_untreated",3
"cgroup_L5_e7eebebd","STR:steatotic","STR:steatotic","gain","vehicle_untreated",3
"cgroup_L5_ea4a1823","CHEBI:22984","CHEBI:22984","gain","vehicle_untreated",3
"cgroup_L5_ee94648c","NCBITaxon:562","NCBITaxon:562","gain","vehicle_untreated",3
"cgroup_L5_eedd08cb","STR:sirna_pool_against_igf2bp1","STR:sirna_pool_against_igf2bp1","block","control sirna",3
"cgroup_L5_f2139c4f","CHEBI:94287","CHEBI:94287","gain","vehicle_untreated",3
"cgroup_L5_f2481870","CHEMBL:CHEMBL2022968","CHEMBL:CHEMBL2022968","gain","vehicle_untreated",3
"cgroup_L5_f34ff8df","CHEBI:4911","CHEBI:4911","gain","vehicle_untreated",3
"cgroup_L5_f56d966d","CHEMBL:CHEMBL2177390","CHEMBL:CHEMBL2177390","gain","vehicle_untreated",3
"cgroup_L5_f640365a","CHEBI:50385","CHEBI:50385","gain","vehicle_untreated",3
"cgroup_L5_f9cc41b3","STR:vtp50469","STR:vtp50469","gain","vehicle_untreated",3
"cgroup_L5_fea19ca0","HGNC:5434","HGNC:5434","gain","vehicle_untreated",3
"cgroup_L5_ff45f67e","COMBO:ionomycin+pma","COMBO:ionomycin+pma","gain","vehicle_untreated",3
"cgroup_L5_ff78d2a8","CHEBI:15365","CHEBI:15365","gain","vehicle_untreated",3
