"cluster_id","anchor_key","k","n_total","studies_in_cluster","canonical_name","contrast_entity","contrast_direction","contrast_control_key","contrast_entity_source","entita_canonica","fonte_risoluzione","fiducia"
"cgroup_L5_20b5b61f","STR:diabetes_tb||gain||diabetes",1,254,"GSE181143","Diabetes Mellitus","STR:diabetes_tb","gain","diabetes","STR","STR:diabetes_tb","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20b9e23d","STR:dcvc||gain||vehicle_untreated",1,6,"GSE154489","S-(1,2-dichlorovinyl)-L-cysteine","STR:dcvc","gain","vehicle_untreated","STR","STR:dcvc","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20bc3ffd","CHEBI:168442+CHEBI:234554||gain||vehicle_untreated",1,10,"GSE113581","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NH<small><sub>2</sub></small>]-α-<small>D</small>-Glc<em>p</em>NAc-(1→2)-<small>D</small>-GroA","CHEBI:168442+CHEBI:234554","gain","vehicle_untreated","onto","CHEBI:168442+CHEBI:234554","GIA_CANONICO","nessuna"
"cgroup_L5_20cda281","STR:omomyc||gain||vehicle_untreated",1,57,"GSE131075","OMYC","STR:omomyc","gain","vehicle_untreated","STR","STR:omomyc","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20d4a065","STR:zeb1_knockdown||block||negative control shrna",1,3,"GSE214471","ZNF225","STR:zeb1_knockdown","block","negative control shrna","STR","STR:zeb1_knockdown","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20d97088","STR:sirna_targeting_ampk_1||block||control sirna",1,9,"GSE147470","AMPK alpha 1 catalytic subunit","STR:sirna_targeting_ampk_1","block","control sirna","STR","STR:sirna_targeting_ampk_1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20e26d64","STR:condyloma_acuminatum||gain||vehicle_untreated",1,30,"GSE172137",NA,"STR:condyloma_acuminatum","gain","vehicle_untreated","STR","STR:condyloma_acuminatum","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20e93dc9","STR:siehmt1||gain||sicontrol",1,4,"GSE179049","siEHMT1","STR:siehmt1","gain","sicontrol","STR","STR:siehmt1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20f0ecb6","NCBITaxon:10298||gain||ctr",1,4,"GSE103763","hsv-1","NCBITaxon:10298","gain","ctr","onto","NCBITaxon:10298","GIA_CANONICO","nessuna"
"cgroup_L5_20f81b03","STR:silenced_for_rbfox2||loss||sictrl",1,6,"GSE234737","RASA4","STR:silenced_for_rbfox2","loss","sictrl","STR","STR:silenced_for_rbfox2","STR_NON_TOCCATO","nessuna"
"cgroup_L5_2104eba3","COMBO:il17a+tnf||gain||epilife hkgs pest",1,9,"GSE217552","TNF","COMBO:il17a+tnf","gain","epilife hkgs pest","COMBO","COMBO:il17a+tnf","GIA_CANONICO","nessuna"
"cgroup_L5_21138770","STR:crispri_sg_e1_2||block||crispri sg nc",1,2,"GSE166233","RNF168","STR:crispri_sg_e1_2","block","crispri sg nc","STR","STR:crispri_sg_e1_2","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21197944","CHEBI:28940||gain||vehicle_untreated",2,105,"GSE212728;GSE260981","calciol","CHEBI:28940","gain","vehicle_untreated","onto","CHEBI:28940","GIA_CANONICO","nessuna"
"cgroup_L5_211b010f","MeSH:D007251||gain||vehicle_untreated",1,20,"GSE161731","Mycobacterium tuberculosis","MeSH:D007251","gain","vehicle_untreated","onto","MeSH:D007251","GIA_CANONICO","nessuna"
"cgroup_L5_211c31ec","STR:sorted_blasts||gain||sorted cd cells",1,8,"GSE128910","Myelocult (+TPO, SCF, Flt3L, IL3, IL6, GMCSF, GCSF)","STR:sorted_blasts","gain","sorted cd cells","STR","STR:sorted_blasts","STR_NON_TOCCATO","nessuna"
