"id_a","id_b","reg_a","reg_b","chiave","tier","entrambi_nel_corpus"
"CHEBI:15940","MeSH:D009525","chebi","mesh","nicotinicacid","T2_canonico_alias",FALSE
"CHEBI:16113","CHEMBL:CHEMBL112570","chebi","chembl","cholesterol","T1_canonico_canonico",FALSE
"CHEBI:16113","MeSH:D002784","chebi","mesh","cholesterol","T1_canonico_canonico",FALSE
"CHEBI:16196","CHEMBL:CHEMBL8659","chebi","chembl","oleicacid","T1_canonico_canonico",FALSE
"CHEBI:16196","MeSH:D019301","chebi","mesh","oleicacid","T1_canonico_canonico",FALSE
"CHEBI:16199","CHEMBL:CHEMBL985","chebi","chembl","urea","T1_canonico_canonico",FALSE
"CHEBI:16199","MeSH:D014508","chebi","mesh","urea","T1_canonico_canonico",FALSE
"CHEBI:16240","CHEMBL:CHEMBL71595","chebi","chembl","hydrogenperoxide","T1_canonico_canonico",FALSE
"CHEBI:16240","MeSH:D006861","chebi","mesh","hydrogenperoxide","T1_canonico_canonico",FALSE
"CHEBI:16330","CHEMBL:CHEMBL27769","chebi","chembl","stanolone","T2_canonico_alias",FALSE
"CHEBI:16330","MeSH:D013196","chebi","mesh","17betahydroxy5alphaandrostan3one","T2_canonico_alias",FALSE
"CHEBI:16335","CHEMBL:CHEMBL477","chebi","chembl","adenosine","T1_canonico_canonico",FALSE
"CHEBI:16335","MeSH:D000241","chebi","mesh","adenosine","T1_canonico_canonico",FALSE
"CHEBI:16412","MeSH:D008070","chebi","mesh","lipopolysaccharides","T2_canonico_alias",FALSE
"CHEBI:16467","HGNC:14193","chebi","hgnc","larg","T3_alias_alias",FALSE
"CHEBI:16469","CHEMBL:CHEMBL135","chebi","chembl","17betaestradiol","T2_canonico_alias",FALSE
"CHEBI:16469","MeSH:D004958","chebi","mesh","17betaestradiol","T2_canonico_alias",FALSE
"CHEBI:16526","CHEMBL:CHEMBL1231871","chebi","chembl","carbondioxide","T1_canonico_canonico",FALSE
"CHEBI:16526","CHEMBL:CHEMBL3707314","chebi","chembl","r744","T3_alias_alias",FALSE
"CHEBI:16526","MeSH:D002245","chebi","mesh","carbondioxide","T1_canonico_canonico",FALSE
"CHEBI:16583","MeSH:D003931","chebi","mesh","diacetyl","T2_canonico_alias",FALSE
"CHEBI:166631","CHEMBL:CHEMBL208484","chebi","chembl","karanjin","T1_canonico_canonico",FALSE
"CHEBI:167658","CHEMBL:CHEMBL483321","chebi","chembl","cp724714","T1_canonico_canonico",FALSE
"CHEBI:167707","CHEMBL:CHEMBL3707348","chebi","chembl","acalabrutinib","T1_canonico_canonico",FALSE
"CHEBI:167707","CHEMBL:CHEMBL4594293","chebi","chembl","calquence","T3_alias_alias",FALSE
"CHEBI:16796","CHEMBL:CHEMBL45","chebi","chembl","melatonin","T1_canonico_canonico",FALSE
"CHEBI:16796","MeSH:D008550","chebi","mesh","melatonin","T1_canonico_canonico",FALSE
"CHEBI:16842","CHEMBL:CHEMBL1255","chebi","chembl","formaldehyde","T1_canonico_canonico",FALSE
"CHEBI:16842","MeSH:D005557","chebi","mesh","formaldehyde","T1_canonico_canonico",FALSE
"CHEBI:16899","CHEMBL:CHEMBL689","chebi","chembl","dmannitol","T2_canonico_alias",FALSE
"CHEBI:16899","MeSH:D008353","chebi","mesh","osmitrol","T3_alias_alias",FALSE
"CHEBI:16997","CHEMBL:CHEMBL286398","chebi","chembl","isopropyleneglycol","T3_alias_alias",FALSE
"CHEBI:16997","MeSH:D019946","chebi","mesh","12propanediol","T3_alias_alias",FALSE
"CHEBI:17026","CHEMBL:CHEMBL103","chebi","chembl","progesterone","T1_canonico_canonico",FALSE
"CHEBI:17026","MeSH:D011374","chebi","mesh","progesterone","T1_canonico_canonico",FALSE
"CHEBI:17154","CHEMBL:CHEMBL1140","chebi","chembl","niacinamide","T2_canonico_alias",FALSE
"CHEBI:17154","MeSH:D009536","chebi","mesh","niacinamide","T2_canonico_alias",FALSE
"CHEBI:17230","CHEMBL:CHEMBL310604","chebi","chembl","homocysteine","T1_canonico_canonico",FALSE
