"id_a","id_b","chiave","tier","entrambi_nel_corpus","blocco"
"CHEBI:16330","CHEMBL:CHEMBL27769","stanolone","T2_canonico_alias",FALSE,""
"CHEBI:16330","MeSH:D013196","17betahydroxy5alphaandrostan3one","T2_canonico_alias",FALSE,""
"CHEBI:16335","CHEMBL:CHEMBL477","adenosine","T1_canonico_canonico",FALSE,""
"CHEBI:16335","MeSH:D000241","adenosine","T1_canonico_canonico",FALSE,""
"CHEBI:16412","MeSH:D008070","lipopolysaccharides","T2_canonico_alias",FALSE,"mesh_troppo_alto"
"CHEBI:16467","HGNC:14193","larg","T3_alias_alias",FALSE,""
"CHEBI:16469","CHEMBL:CHEMBL135","17betaestradiol","T2_canonico_alias",FALSE,""
"CHEBI:16469","MeSH:D004958","17betaestradiol","T2_canonico_alias",FALSE,""
"CHEBI:16526","CHEMBL:CHEMBL1231871","carbondioxide","T1_canonico_canonico",FALSE,""
"CHEBI:16526","CHEMBL:CHEMBL3707314","r744","T3_alias_alias",FALSE,""
"CHEBI:16526","MeSH:D002245","carbondioxide","T1_canonico_canonico",FALSE,"mesh_troppo_alto"
"CHEBI:16583","MeSH:D003931","diacetyl","T2_canonico_alias",FALSE,""
"CHEBI:166631","CHEMBL:CHEMBL208484","karanjin","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:167658","CHEMBL:CHEMBL483321","cp724714","T1_canonico_canonico",FALSE,""
"CHEBI:167707","CHEMBL:CHEMBL3707348","acalabrutinib","T1_canonico_canonico",FALSE,""
"CHEBI:167707","CHEMBL:CHEMBL4594293","calquence","T3_alias_alias",FALSE,""
"CHEBI:16796","CHEMBL:CHEMBL45","melatonin","T1_canonico_canonico",FALSE,""
"CHEBI:16796","MeSH:D008550","melatonin","T1_canonico_canonico",FALSE,"mesh_troppo_alto"
"CHEBI:16842","CHEMBL:CHEMBL1255","formaldehyde","T1_canonico_canonico",FALSE,""
"CHEBI:16842","MeSH:D005557","formaldehyde","T1_canonico_canonico",FALSE,"mesh_troppo_alto"
"CHEBI:16899","CHEMBL:CHEMBL689","dmannitol","T2_canonico_alias",FALSE,""
"CHEBI:16899","MeSH:D008353","osmitrol","T3_alias_alias",FALSE,"mesh_troppo_alto"
"CHEBI:16997","CHEMBL:CHEMBL286398","isopropyleneglycol","T3_alias_alias",FALSE,""
"CHEBI:16997","MeSH:D019946","12propanediol","T3_alias_alias",FALSE,""
"CHEBI:17026","CHEMBL:CHEMBL103","progesterone","T1_canonico_canonico",FALSE,""
"CHEBI:17026","MeSH:D011374","progesterone","T1_canonico_canonico",FALSE,""
"CHEBI:17154","CHEMBL:CHEMBL1140","niacinamide","T2_canonico_alias",FALSE,""
"CHEBI:17154","MeSH:D009536","niacinamide","T2_canonico_alias",FALSE,""
"CHEBI:17230","CHEMBL:CHEMBL310604","homocysteine","T1_canonico_canonico",FALSE,""
"CHEBI:17230","MeSH:D006710","homocysteine","T1_canonico_canonico",FALSE,""
