"lib","n","ch_uguali","so_uguali"
"GSE112087mon_sle_25_01 mon_sle_25_01_c8078anxx_gagtgg",2,TRUE,TRUE
"GSE112087mon_sle_26_01 mon_sle_26_01_c8078anxx_actgat",2,TRUE,TRUE
"GSE112087mon_sle_27_01 mon_sle_27_01_c8078anxx_attcct",2,TRUE,TRUE
"GSE112087mon_sle_28_01 mon_sle_28_01_c8078anxx_atcacg",2,TRUE,TRUE
"GSE112087mon_sle_29_01 mon_sle_29_01_c8078anxx_cgatgt",2,TRUE,TRUE
"GSE112087mon_sle_30_01 mon_sle_30_01_c8078anxx_ttaggc",2,TRUE,TRUE
"GSE112087mon_sle_31_01 mon_sle_31_01_c8078anxx_tgacca",2,TRUE,TRUE
"GSE112087mon_sle_32_01 mon_sle_32_01_c8078anxx_acagtg",2,TRUE,TRUE
"GSE112087mon_sle_33_01 mon_sle_33_01_c8078anxx_gccaat",2,TRUE,TRUE
"GSE112087mon_sle_34_01 mon_sle_34_01_c8078anxx_cagatc",2,TRUE,TRUE
"GSE112087ms_norm_01 ms_norm_01_c8078anxx_acttga",2,TRUE,TRUE
"GSE112087ms_norm_02 ms_norm_02_c8078anxx_gatcag",2,TRUE,TRUE
"GSE112087ms_norm_03 ms_norm_03_c8078anxx_tagctt",2,TRUE,TRUE
"GSE112087ms_norm_04 ms_norm_04_c8078anxx_ggctac",2,TRUE,TRUE
"GSE112087ms_norm_05 ms_norm_05_c8078anxx_cttgta",2,TRUE,TRUE
"GSE112087ms_norm_06 ms_norm_06_c8078anxx_agtcaa",2,TRUE,TRUE
"GSE112087ms_norm_07 ms_norm_07_c8078anxx_agttcc",2,TRUE,TRUE
"GSE112087ms_norm_08 ms_norm_08_c8078anxx_atgtca",2,TRUE,TRUE
"GSE112087ms_norm_10 ms_norm_10_c8078anxx_ccgtcc",2,TRUE,TRUE
"GSE112087ms_norm_11 ms_norm_11_c8078anxx_gtccgc",2,TRUE,TRUE
"GSE112087ms_norm_13 ms_norm_13_c8078anxx_gtgaaa",2,TRUE,TRUE
"GSE112087ms_norm_14 ms_norm_14_c8078anxx_gtggcc",2,TRUE,TRUE
"GSE112087ms_norm_15 ms_norm_15_c8078anxx_gtttcg",2,TRUE,TRUE
"GSE112087ms_norm_16 ms_norm_16_c8078anxx_cgtacg",2,TRUE,TRUE
"GSE112087ms_norm_17 ms_norm_17_c8078anxx_gagtgg",2,TRUE,TRUE
"GSE112087ms_norm_18 ms_norm_18_c8078anxx_actgat",2,TRUE,TRUE
"GSE112087ms_norm_19 ms_norm_19_c8078anxx_attcct",2,TRUE,TRUE
"GSE112087ms_norm_20 ms_norm_20_c8078anxx_atcacg",2,TRUE,TRUE
"GSE112087ms_norm_21 ms_norm_21_c8078anxx_cgatgt",2,TRUE,TRUE
"GSE112087ms_norm_22 ms_norm_22_c8078anxx_ttaggc",2,TRUE,TRUE
"GSE112087ms_norm_23 ms_norm_23_c8078anxx_tgacca",2,TRUE,TRUE
"GSE112087ms_norm_24 ms_norm_24_c8078anxx_acagtg",2,TRUE,TRUE
"GSE112087ms_norm_25 ms_norm_25_c8078anxx_gccaat",2,TRUE,TRUE
"GSE112087ms_norm_26 ms_norm_26_c8078anxx_cagatc",2,TRUE,TRUE
"GSE112087ms_norm_27 ms_norm_27_c8078anxx_acttga",2,TRUE,TRUE
"GSE112087ms_norm_28 ms_norm_28_c8078anxx_gatcag",2,TRUE,TRUE
"GSE112087ms_norm_30 ms_norm_30_c8078anxx_tagctt",2,TRUE,TRUE
"GSE112087ms_norm_31 ms_norm_31_c8078anxx_ggctac",2,TRUE,TRUE
"GSE112087ms_norm_32 ms_norm_32_c8078anxx_cttgta",2,TRUE,TRUE
"GSE112137control_120hour_15",2,FALSE,TRUE
"GSE112137control_120hour_21",2,FALSE,TRUE
"GSE112137control_120hour_3",2,FALSE,TRUE
"GSE112137control_120hour_9",2,FALSE,TRUE
"GSE112137control_24hour_1",2,FALSE,TRUE
"GSE112137control_24hour_13",2,FALSE,TRUE
"GSE112137control_24hour_19",2,FALSE,TRUE
"GSE112137control_24hour_7",2,FALSE,TRUE
"GSE112137control_48hour_14",2,FALSE,TRUE
"GSE112137control_48hour_2",2,FALSE,TRUE
"GSE112137control_48hour_20",2,FALSE,TRUE
"GSE112137control_48hour_8",2,FALSE,TRUE
"GSE112137hypoxia_120hour_12",2,FALSE,TRUE
"GSE112137hypoxia_120hour_18",2,FALSE,TRUE
"GSE112137hypoxia_120hour_24",2,FALSE,TRUE
"GSE112137hypoxia_120hour_6",2,FALSE,TRUE
"GSE112137hypoxia_24hour_10",2,FALSE,TRUE
"GSE112137hypoxia_24hour_16",2,FALSE,TRUE
"GSE112137hypoxia_24hour_22",2,FALSE,TRUE
"GSE112137hypoxia_24hour_4",2,FALSE,TRUE
"GSE112137hypoxia_48hour_11",2,FALSE,TRUE
"GSE112137hypoxia_48hour_17",2,FALSE,TRUE
"GSE112137hypoxia_48hour_23",2,FALSE,TRUE
"GSE112137hypoxia_48hour_5",2,FALSE,TRUE
"GSE113091dpt46-adenosine treated replicate-1",4,TRUE,FALSE
"GSE113091dpt46-adenosine treated replicate-2",4,TRUE,FALSE
"GSE113091dpt46-untreated replicate-1",4,TRUE,FALSE
"GSE113091dpt46-untreated replicate-2",4,TRUE,FALSE
"GSE113091dpt46-untreated replicate-3",4,TRUE,FALSE
"GSE114267,GSE114268,GSE149007dht",2,TRUE,TRUE
"GSE114267,GSE114268,GSE149007gsk24hveh",2,TRUE,TRUE
"GSE114267,GSE114268,GSE149007gsk2wdht",2,TRUE,TRUE
"GSE114267,GSE114268,GSE149007gsk2wveh",2,TRUE,TRUE
"GSE114267,GSE114268,GSE149007gsk48hdht",2,TRUE,TRUE
"GSE114267,GSE114268,GSE149007gsk48hveh",2,TRUE,TRUE
"GSE114267,GSE114268,GSE149007veh",2,TRUE,TRUE
"GSE1144722018-02-15-nikita-sharma-06-sc-1_s11",4,TRUE,TRUE
"GSE1144722018-02-15-nikita-sharma-07-ogti-1_s10",4,TRUE,TRUE
"GSE1144722018-02-15-nikita-sharma-08-sc-2_s8",4,TRUE,TRUE
"GSE1144722018-02-15-nikita-sharma-09-ogti-2_s2",4,TRUE,TRUE
"GSE1144722018-02-15-nikita-sharma-10-sc-3_s6",4,TRUE,TRUE
"GSE1144722018-02-15-nikita-sharma-11-ogti-3_s1",4,TRUE,TRUE
"GSE114738vcap_odq",2,TRUE,TRUE
"GSE114738vcap_sigucy1a1-1",2,TRUE,TRUE
"GSE114738vcap_sigucy1a1-2",2,TRUE,TRUE
"GSE114738vcap_sigucy1b1-1",2,TRUE,TRUE
"GSE114738vcap_sigucy1b1-2",2,TRUE,TRUE
"GSE114738vcap_sintc-1",2,TRUE,TRUE
"GSE114738vcap_sintc-2",2,TRUE,TRUE
"GSE114738vcap_veh",2,TRUE,TRUE
"GSE115542icb-1078mb-18342-control_s8",4,TRUE,TRUE
"GSE115542icb-1078mb-18343-control_s9",4,TRUE,TRUE
"GSE115542icb-1078mb-22234-digoxin-bio_s12",4,TRUE,TRUE
"GSE115542icb-1078mb-22241-digoxin-bio_s13",4,TRUE,TRUE
"GSE115542icb-2555mb-20908_s23",4,TRUE,TRUE
"GSE115542icb-2555mb-21659-digoxin-bio_s14",4,TRUE,TRUE
"GSE1166721001701101",23,FALSE,TRUE
"GSE1166721001701103",23,FALSE,TRUE
"GSE1166721001701105",23,FALSE,TRUE
"GSE1166721001701201",23,FALSE,TRUE
"GSE1166721001701203",23,FALSE,TRUE
"GSE1166721001701205",23,FALSE,TRUE
"GSE1166721001701301",23,FALSE,TRUE
"GSE1166721001701303",23,FALSE,TRUE
"GSE1166721001701305",23,FALSE,TRUE
"GSE1166721001701401",23,FALSE,TRUE
"GSE1166721001701403",23,FALSE,TRUE
"GSE1166721001701405",23,FALSE,TRUE
"GSE1166721001701501",23,FALSE,TRUE
"GSE1166721001701503",23,FALSE,TRUE
"GSE1166721001701505",23,FALSE,TRUE
"GSE1166721001701601",23,FALSE,TRUE
"GSE1166721001701602",23,FALSE,TRUE
"GSE1166721001701603",23,FALSE,TRUE
"GSE1166721001701604",23,FALSE,TRUE
"GSE1166721001701605",23,FALSE,TRUE
"GSE1166721001701606",23,FALSE,TRUE
"GSE1166721001701701",23,FALSE,TRUE
"GSE1166721001701703",23,FALSE,TRUE
"GSE1166721001701705",23,FALSE,TRUE
"GSE1166721001701801",23,FALSE,TRUE
"GSE1166721001701802",23,FALSE,TRUE
"GSE1166721001701803",16,FALSE,TRUE
"GSE1166721001701804",23,FALSE,TRUE
"GSE1166721001702101",23,FALSE,TRUE
"GSE1166721001702102",23,FALSE,TRUE
"GSE1166721001702103",23,FALSE,TRUE
"GSE1166721001702104",23,FALSE,TRUE
"GSE1166721001702201",23,FALSE,TRUE
"GSE1166721001702202",23,FALSE,TRUE
"GSE1166721001702203",23,FALSE,TRUE
"GSE1166721001702204",23,FALSE,TRUE
"GSE116899226b_c2cugacxx_gatcag",2,TRUE,TRUE
"GSE116899226sf_c2cugacxx_cgtacg",2,TRUE,TRUE
"GSE116899271b_c2cugacxx_gagtgg",2,TRUE,TRUE
"GSE116899271sf_c2cugacxx_gtttcg",2,TRUE,TRUE
"GSE116899332b_c2cugacxx_agtcaa",2,TRUE,TRUE
"GSE116899387b_c2cugacxx_gtccgc",2,TRUE,TRUE
"GSE116899396b_c2cugacxx_agttcc",2,TRUE,TRUE
"GSE116899416b_c2cugacxx_gtggcc",2,TRUE,TRUE
"GSE116899416sf_c2cugacxx_gtgaaa",2,TRUE,TRUE
"GSE116899431b_c2cugacxx_tagctt",2,TRUE,TRUE
"GSE116899435b_c2cugacxx_cttgta",2,TRUE,TRUE
"GSE116899466b_c2cugacxx_ccgtcc",2,TRUE,TRUE
"GSE116899vdbr10b_c2cugacxx_atgtca",2,TRUE,TRUE
"GSE116899vdbr40b_c2cugacxx_ggctac",2,TRUE,TRUE
"GSE116899vdbr43b_c2cugacxx_actgat",2,TRUE,TRUE
"GSE118184morizane_es",2,TRUE,TRUE
"GSE118184takasato_es_batch1",2,TRUE,TRUE
"GSE118184takasato_ips_batch3",2,TRUE,TRUE
"GSE121082ham_tsp_s3_pbmc",3,FALSE,TRUE
"GSE121082ham_tsp_s6_pbmc",3,FALSE,TRUE
"GSE121082hc_s3_pbmc",3,FALSE,TRUE
"GSE121082hc_s9_pbmc",3,FALSE,TRUE
"GSE121082ms_s27_pbmc",3,TRUE,TRUE
"GSE124703crop-seq_day 7_sgrna_enrichment_for",2,TRUE,TRUE
"GSE124703crop-seq_ipsc_sgrna_enrichment_for",2,TRUE,TRUE
"GSE1247421001200501",24,FALSE,TRUE
"GSE1247421001200502",24,FALSE,TRUE
"GSE1247421001200508",24,FALSE,TRUE
"GSE1247421001200509",24,FALSE,TRUE
"GSE1247421001200510",24,FALSE,TRUE
"GSE1247421001200511",24,FALSE,TRUE
"GSE1247421001200514",23,TRUE,TRUE
"GSE1247421001200515",23,TRUE,TRUE
"GSE1247421001200516",23,TRUE,TRUE
"GSE1247421001200517",23,TRUE,TRUE
"GSE1247421001200518",23,TRUE,TRUE
"GSE1247421001200519",23,TRUE,TRUE
"GSE1247421001200520",23,TRUE,TRUE
"GSE1247421001200521",23,TRUE,TRUE
"GSE1247421001200522",23,TRUE,TRUE
"GSE124857,GSE124864broli",3,TRUE,TRUE
"GSE124857,GSE124864mkl1",3,TRUE,TRUE
"GSE124857,GSE124864mkl2",3,TRUE,TRUE
"GSE124857,GSE124864ms1",3,TRUE,TRUE
"GSE124857,GSE124864peta",3,TRUE,TRUE
"GSE124857,GSE124864uiso",3,TRUE,TRUE
"GSE124857,GSE124864waga",3,TRUE,TRUE
"GSE125769,GSE125770pdx1-c18r-hom-pp1_rep1",3,FALSE,TRUE
"GSE125769,GSE125770pdx1-c18r-hom-pp1_rep2",3,FALSE,TRUE
"GSE125769,GSE125770pdx1-c18r-hom-pp1_rep3",3,FALSE,TRUE
"GSE125769,GSE125770pdx1-c18r-hom-pp1_rep4",3,FALSE,TRUE
"GSE125769,GSE125770pdx1-ko-het-pp1_rep1",3,FALSE,TRUE
"GSE125769,GSE125770pdx1-ko-het-pp1_rep2",3,FALSE,TRUE
"GSE125769,GSE125770pdx1-ko-het-pp1_rep3",3,FALSE,TRUE
"GSE125769,GSE125770pdx1-ko-het-pp1_rep4",3,FALSE,TRUE
"GSE125769,GSE125770pdx1-p33t-hom-pp1_rep1",3,FALSE,TRUE
"GSE125769,GSE125770pdx1-p33t-hom-pp1_rep2",3,FALSE,TRUE
"GSE125769,GSE125770pdx1-p33t-hom-pp1_rep3",3,FALSE,TRUE
"GSE125769,GSE125770pdx1-p33t-hom-pp1_rep4",3,FALSE,TRUE
"GSE125769,GSE125770xm001-ipsc_rep1",3,FALSE,TRUE
"GSE125769,GSE125770xm001-ipsc_rep2",3,FALSE,TRUE
"GSE125769,GSE125770xm001-ipsc_rep3",3,FALSE,TRUE
"GSE125769,GSE125770xm001-ipsc_rep4",3,FALSE,TRUE
"GSE125769,GSE125770xm001-pp1_rep1",3,FALSE,TRUE
"GSE125769,GSE125770xm001-pp1_rep2",3,FALSE,TRUE
"GSE125769,GSE125770xm001-pp1_rep3",3,FALSE,TRUE
"GSE12957896plexhmec_original_multi",2,TRUE,TRUE
"GSE12957896plexhmec_tech.rep",4,TRUE,TRUE
"GSE12957896plexhmec_tech.rep_multi",3,TRUE,TRUE
"GSE130289d10_e1",4,TRUE,TRUE
"GSE130289d10_e2",11,TRUE,TRUE
"GSE130289d10_e4",6,TRUE,TRUE
"GSE130289d12_e4",6,TRUE,TRUE
"GSE130289d12_e6",6,TRUE,TRUE
"GSE130289d8_e3",4,TRUE,TRUE
"GSE131590140424_sn163_0548_ac3tjnacxx_acagtg",2,FALSE,FALSE
"GSE131590140424_sn163_0548_ac3tjnacxx_actgat",2,FALSE,FALSE
"GSE131590140424_sn163_0548_ac3tjnacxx_agttcc",3,FALSE,FALSE
"GSE131590140424_sn163_0548_ac3tjnacxx_atgtca",2,TRUE,FALSE
"GSE131590140424_sn163_0548_ac3tjnacxx_cgtacg",2,FALSE,FALSE
"GSE131590140424_sn163_0548_ac3tjnacxx_gatcag",2,TRUE,FALSE
"GSE131590140424_sn163_0548_ac3tjnacxx_gtccgc",3,FALSE,FALSE
"GSE131590140424_sn163_0548_ac3tjnacxx_gtttcg",3,FALSE,FALSE
"GSE131590140424_sn163_0548_ac3tjnacxx_tgacca",2,FALSE,FALSE
"GSE131590140424_sn163_0548_ac3tjnacxx_ttaggc",2,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_acagtg",2,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_acttga",3,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_agtcaa",2,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_agttcc",2,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_atcacg",4,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_cagatc",3,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_cgatgt",2,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_cgtacg",2,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_gagtgg",3,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_gatcag",2,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_gccaat",3,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_ggctac",2,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_gtggcc",3,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_gtttcg",4,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_tagctt",4,FALSE,FALSE
"GSE131590140516_sn163_0555_ac3vyaacxx_ttaggc",5,FALSE,FALSE
"GSE131590140606_sn163_0558_ac4e0yacxx_ttaggc",2,FALSE,FALSE
"GSE133378azt_16_c_s2",4,TRUE,TRUE
"GSE133378azt_16_m_s1",4,TRUE,TRUE
"GSE133378azt_17_c_s4",4,TRUE,TRUE
"GSE133378azt_17_m_s3",4,TRUE,TRUE
"GSE133378azt_18_c_s6",4,TRUE,TRUE
"GSE133378azt_18_m_s5",4,TRUE,TRUE
"GSE133378azt_20_c_s8",4,TRUE,TRUE
"GSE133378azt_20_m_s7",4,TRUE,TRUE
"GSE133378azt11c_s34",4,TRUE,TRUE
"GSE133378azt11m_s33",4,TRUE,TRUE
"GSE133378azt13c_s36",4,TRUE,TRUE
"GSE133378azt13m_s35",4,TRUE,TRUE
"GSE133378azt14c_s38",4,TRUE,TRUE
"GSE133378azt14m_s37",4,TRUE,TRUE
"GSE133378azt15c_s40",4,TRUE,TRUE
"GSE133378azt15m_s39",4,TRUE,TRUE
"GSE133378azt1c_s20",4,TRUE,TRUE
"GSE133378azt1m_s19",4,TRUE,TRUE
"GSE133378azt2c_s22",4,TRUE,TRUE
"GSE133378azt2m_s21",4,TRUE,TRUE
"GSE133378azt3c_s24",4,TRUE,TRUE
"GSE133378azt3m_s23",4,TRUE,TRUE
"GSE133378azt5c_s26",4,TRUE,TRUE
"GSE133378azt5m_s25",4,TRUE,TRUE
"GSE133378azt6c_s28",4,TRUE,TRUE
"GSE133378azt6m_s27",4,TRUE,TRUE
"GSE133378azt7c_s30",4,TRUE,TRUE
"GSE133378azt7m_s29",4,TRUE,TRUE
"GSE133378azt9c_s32",4,TRUE,TRUE
"GSE133378azt9m_s31",4,TRUE,TRUE
"GSE133378din_1_c_s14",4,TRUE,TRUE
"GSE133378din_1_m_s13",4,TRUE,TRUE
"GSE133378din_12_c_s26",4,TRUE,TRUE
"GSE133378din_12_m_s25",4,TRUE,TRUE
"GSE133378din_14_c_s28",4,TRUE,TRUE
"GSE133378din_14_m_s27",4,TRUE,TRUE
"GSE133378din_2_c_s16",4,TRUE,TRUE
"GSE133378din_2_m_s15",4,TRUE,TRUE
"GSE133378din_3_c_s18",4,TRUE,TRUE
"GSE133378din_3_m_s17",4,TRUE,TRUE
"GSE133378din_4_c_s20",4,TRUE,TRUE
"GSE133378din_4_m_s19",4,TRUE,TRUE
"GSE133378din_5_c_s22",4,TRUE,TRUE
"GSE133378din_5_m_s21",4,TRUE,TRUE
"GSE133378din_6_c_s24",4,TRUE,TRUE
"GSE133378din_6_m_s23",4,TRUE,TRUE
"GSE133378eli1c_s8",4,TRUE,TRUE
"GSE133378eli1m_s7",4,TRUE,TRUE
"GSE133378eli2c_s10",4,TRUE,TRUE
"GSE133378eli2m_s9",4,TRUE,TRUE
"GSE133378eli5c_s12",4,TRUE,TRUE
"GSE133378eli5m_s11",4,TRUE,TRUE
"GSE133378eli6c_s14",4,TRUE,TRUE
"GSE133378eli6m_s13",4,TRUE,TRUE
"GSE133378eli7c_s16",4,TRUE,TRUE
"GSE133378eli7m_s15",4,TRUE,TRUE
"GSE133378eli8c_s18",4,TRUE,TRUE
"GSE133378eli8m_s17",4,TRUE,TRUE
"GSE133378nik_4_s5",4,TRUE,TRUE
"GSE133378nik_6_s6",4,TRUE,TRUE
"GSE133378nik_6b_s7",4,TRUE,TRUE
"GSE133378nik_9_s8",4,TRUE,TRUE
"GSE133378nik3c_s2",4,TRUE,TRUE
"GSE133378nik3m_s1",4,TRUE,TRUE
"GSE133378nik7c_s4",4,TRUE,TRUE
"GSE133378nik7m_s3",4,TRUE,TRUE
"GSE133378nik8c_s6",4,TRUE,TRUE
"GSE133378nik8m_s5",4,TRUE,TRUE
"GSE133378r_ben-001a_s14",4,TRUE,TRUE
"GSE133378r_ben-002_s15",4,TRUE,TRUE
"GSE133378r_ben-003_s16",4,TRUE,TRUE
"GSE133378r_ben-005_s38",4,TRUE,TRUE
"GSE133378r_ben-006a_s17",4,TRUE,TRUE
"GSE133378r_ben-006c_s34",4,TRUE,TRUE
"GSE133378r_ben-008_s31",4,TRUE,TRUE
"GSE133378r_ben-010_s35",4,TRUE,TRUE
"GSE133378r_ben-011_s18",4,TRUE,TRUE
"GSE133378r_ben-012_s19",4,TRUE,TRUE
"GSE133378r_ben-014_s32",4,TRUE,TRUE
"GSE133378r_ben-015_s20",4,TRUE,TRUE
"GSE133378r_ben-016_s21",4,TRUE,TRUE
"GSE133378r_ben-018_s22",4,TRUE,TRUE
"GSE133378r_ben-019_s23",4,TRUE,TRUE
"GSE133378r_ben-020_s39",4,TRUE,TRUE
"GSE133378r_uza_21_s36",4,TRUE,TRUE
"GSE133378r_uza_25_s37",4,TRUE,TRUE
"GSE133378r_uzg_1_s24",4,TRUE,TRUE
"GSE133378r_uzg_4_s25",4,TRUE,TRUE
"GSE133378r_uzg_5_s26",4,TRUE,TRUE
"GSE133378r_uzg_6_s27",4,TRUE,TRUE
"GSE133378r_uzg_7_s28",4,TRUE,TRUE
"GSE133378r_uzg_8_s29",4,TRUE,TRUE
"GSE133378r_uzg_9_s30",4,TRUE,TRUE
"GSE133378r_uzg-2_s33",4,TRUE,TRUE
"GSE133378st_luc_1_s36",4,TRUE,TRUE
"GSE133378sta_1_s1",4,TRUE,TRUE
"GSE133378sta_2_s35",4,TRUE,TRUE
"GSE133378sta_5_s2",4,TRUE,TRUE
"GSE133378sta_6_s3",4,TRUE,TRUE
"GSE133378uza_3_c_s10",4,TRUE,TRUE
"GSE133378uza_3_m_s9",4,TRUE,TRUE
"GSE133378uza_4_c_s12",4,TRUE,TRUE
"GSE133378uza_4_m_s11",4,TRUE,TRUE
"GSE133378uza_6_s4",4,TRUE,TRUE
"GSE133378uzb_1_s9",4,TRUE,TRUE
"GSE133378uzb_11_s37",4,TRUE,TRUE
"GSE133378uzb_12_s38",4,TRUE,TRUE
"GSE133378uzb_13_s39",4,TRUE,TRUE
"GSE133378uzb_3_s10",4,TRUE,TRUE
"GSE133378uzb_4_s11",4,TRUE,TRUE
"GSE133378uzb_5_s12",4,TRUE,TRUE
"GSE133378uzb_9_s13",4,TRUE,TRUE
"GSE133378uzg_1_s40",4,TRUE,TRUE
"GSE133378vj_a_c_s30",4,TRUE,TRUE
"GSE133378vj_a_m_s29",4,TRUE,TRUE
"GSE133378vj_b_c_s32",4,TRUE,TRUE
"GSE133378vj_b_m_s31",4,TRUE,TRUE
"GSE133378vj_c_c_s34",4,TRUE,TRUE
"GSE133378vj_c_m_s33",4,TRUE,TRUE
"GSE133479smnpcp21c21_s2",2,TRUE,TRUE
"GSE133479smnpct9a35_s3",2,TRUE,TRUE
"GSE133479smnpcwt_s1",2,TRUE,TRUE
"GSE135131rna-seq_mt_1",3,TRUE,TRUE
