"studio","braccio","a","b","r","dichiarata","dep_a","dep_b"
"GSE206784","GSM6262617,GSM6262618,GSM6262619","GSM6262617","GSM6262618",0.996761370646781,FALSE,33969301,32382017
"GSE270511","GSM8345783,GSM8345784,GSM8345787,GSM8345","GSM8345787","GSM8345788",0.996759222456274,FALSE,29868296,30538103
"GSE223839","GSM6997653,GSM6997654","GSM6997653","GSM6997654",0.996756714594345,FALSE,34571665,64615643
"GSE120660","GSM3407127,GSM3407128,GSM3407129","GSM3407127","GSM3407128",0.996756695674543,FALSE,24516533,36017473
"GSE155832","GSM4712731,GSM4712732,GSM4712733,GSM4712","GSM4712733","GSM4712734",0.99675657870263,FALSE,28128225,31939820
"GSE142556","GSM4231892,GSM4231893","GSM4231892","GSM4231893",0.996748859518891,FALSE,60027027,56627549
"GSE207954,GSE255300","GSM8068659,GSM8068660","GSM8068659","GSM8068660",0.996737178993774,FALSE,45283780,38247089
"GSE179347","GSM5415787,GSM5415788,GSM5415789","GSM5415788","GSM5415789",0.996735187284569,FALSE,30082916,28688849
"GSE249721","GSM7961962,GSM7961963,GSM7961964","GSM7961963","GSM7961964",0.996732820109522,FALSE,40071574,42086320
"GSE193897","GSM5823328,GSM5823329","GSM5823328","GSM5823329",0.996730284314208,FALSE,24231828,23416683
"GSE139370","GSM4138913,GSM4138914,GSM4138915","GSM4138914","GSM4138915",0.996729596901331,FALSE,92230056,106187210
"GSE155832","GSM4712711,GSM4712712,GSM4712713,GSM4712","GSM4712712","GSM4712713",0.996727532016361,FALSE,28772994,27131295
"GSE135879","GSM4037048,GSM4037049","GSM4037048","GSM4037049",0.996727508641506,FALSE,46630121,34294333
"GSE246886,GSE246889","GSM7880373,GSM7880374,GSM7880375,GSM7880","GSM7880373","GSM7880376",0.99672713134009,FALSE,38828360,37669785
"GSE225481,GSE228897","GSM7049265,GSM7049266","GSM7049265","GSM7049266",0.996724844503972,FALSE,36914758,34573227
"GSE249573,GSE249574","GSM7950302,GSM7950303","GSM7950302","GSM7950303",0.996718324033744,FALSE,58794201,63630978
"GSE135514","GSM4013425,GSM4013426,GSM4013427,GSM4013","GSM4013426","GSM4013427",0.996712519896514,FALSE,41376336,45470866
"GSE231871","GSM7305417,GSM7305418,GSM7305419,GSM7305","GSM7305417","GSM7305418",0.996706263949177,FALSE,36848442,32514867
"GSE142556","GSM4231896,GSM4231897","GSM4231896","GSM4231897",0.996703249768433,FALSE,52447907,55790767
"GSE152409,GSE152410","GSM4614844,GSM4614845,GSM4614846","GSM4614845","GSM4614846",0.996696504700844,FALSE,58698632,50085047
"GSE120660","GSM3407124,GSM3407125,GSM3407126","GSM3407125","GSM3407126",0.996695623766726,FALSE,30591006,30275260
"GSE125014","GSM3561133,GSM3561134","GSM3561133","GSM3561134",0.996695321980988,FALSE,63542800,45696721
"GSE221475","GSM6873815,GSM6873816,GSM6873817","GSM6873816","GSM6873817",0.996691687118079,FALSE,37293947,30922737
"GSE237784","GSM7653253,GSM7653254,GSM7653255","GSM7653253","GSM7653254",0.996691336261929,FALSE,67838388,68386850
"GSE135879","GSM4037038,GSM4037039","GSM4037038","GSM4037039",0.996689717702859,FALSE,28154645,35603884
"GSE195663","GSM5844755,GSM5844756","GSM5844755","GSM5844756",0.996687559271564,FALSE,36883020,39391412
"GSE120660","GSM3407124,GSM3407125,GSM3407126","GSM3407124","GSM3407126",0.996681375022383,FALSE,31309999,30275260
"GSE211439","GSM6470145,GSM6470146,GSM6470147,GSM6470","GSM6470145","GSM6470146",0.996675474909645,FALSE,25193660,25666150
"GSE157104,GSE157107","GSM4753151,GSM4753152","GSM4753151","GSM4753152",0.996672848789871,FALSE,35282279,32588935
"GSE249721","GSM7961962,GSM7961963,GSM7961964","GSM7961962","GSM7961964",0.996665013211682,FALSE,34025079,42086320
"GSE246886,GSE246889","GSM7880373,GSM7880374,GSM7880375,GSM7880","GSM7880376","GSM7880378",0.996664796997557,FALSE,37669785,41466193
