"studio","a","b","ta","tb","r","stessa_libreria"
"GSE173902","GSM5282762","GSM5282773","SA.IL4 sam6_L001","SE.IFNg sam20_L001",0.891191159913923,FALSE
"GSE173902","GSM5282763","GSM5282773","none.IL13 sam7_L001","SE.IFNg sam20_L001",0.887633550323591,FALSE
"GSE173902","GSM5282764","GSM5282773","SE.IL13 sam8_L001","SE.IFNg sam20_L001",0.887594512867434,FALSE
"GSE173902","GSM5282765","GSM5282773","SA.IL13 sam9_L001","SE.IFNg sam20_L001",0.884965133319159,FALSE
"GSE173902","GSM5282766","GSM5282773","none.IL4IL13 sam10_L001","SE.IFNg sam20_L001",0.888667189187568,FALSE
"GSE173902","GSM5282767","GSM5282773","SE.IL4IL13 sam11_L001","SE.IFNg sam20_L001",0.888524956538385,FALSE
"GSE173902","GSM5282768","GSM5282773","SA.IL4IL13 sam12_L001","SE.IFNg sam20_L001",0.888182685098059,FALSE
"GSE173902","GSM5282769","GSM5282773","none.IL22 sam13_L001","SE.IFNg sam20_L001",0.888900368011937,FALSE
"GSE173902","GSM5282770","GSM5282773","SE.IL22 sam14_L001","SE.IFNg sam20_L001",0.889791692031266,FALSE
"GSE173902","GSM5282771","GSM5282773","SA.IL22 sam15_L001","SE.IFNg sam20_L001",0.890262923822193,FALSE
"GSE173902","GSM5282772","GSM5282773","none.IFNg sam19_L001","SE.IFNg sam20_L001",0.907627974805133,FALSE
"GSE173902","GSM5282757","GSM5282774","none.none sam1_L001","SA.IFNg sam21_L001",0.887752628242434,FALSE
"GSE173902","GSM5282758","GSM5282774","SE.none sam2_L001","SA.IFNg sam21_L001",0.886947794190962,FALSE
"GSE173902","GSM5282759","GSM5282774","SA.none sam3_L001","SA.IFNg sam21_L001",0.889546967510514,FALSE
"GSE173902","GSM5282760","GSM5282774","none.IL4 sam4_L001","SA.IFNg sam21_L001",0.889613036921194,FALSE
"GSE173902","GSM5282761","GSM5282774","SE.IL4 sam5_L001","SA.IFNg sam21_L001",0.888174462738684,FALSE
"GSE173902","GSM5282762","GSM5282774","SA.IL4 sam6_L001","SA.IFNg sam21_L001",0.889627565409961,FALSE
"GSE173902","GSM5282763","GSM5282774","none.IL13 sam7_L001","SA.IFNg sam21_L001",0.886780805565886,FALSE
"GSE173902","GSM5282764","GSM5282774","SE.IL13 sam8_L001","SA.IFNg sam21_L001",0.887245366607912,FALSE
"GSE173902","GSM5282765","GSM5282774","SA.IL13 sam9_L001","SA.IFNg sam21_L001",0.884814481615264,FALSE
"GSE173902","GSM5282766","GSM5282774","none.IL4IL13 sam10_L001","SA.IFNg sam21_L001",0.888061917752053,FALSE
"GSE173902","GSM5282767","GSM5282774","SE.IL4IL13 sam11_L001","SA.IFNg sam21_L001",0.888375009443498,FALSE
"GSE173902","GSM5282768","GSM5282774","SA.IL4IL13 sam12_L001","SA.IFNg sam21_L001",0.888851307704217,FALSE
"GSE173902","GSM5282769","GSM5282774","none.IL22 sam13_L001","SA.IFNg sam21_L001",0.889549057183685,FALSE
"GSE173902","GSM5282770","GSM5282774","SE.IL22 sam14_L001","SA.IFNg sam21_L001",0.889503148102745,FALSE
"GSE173902","GSM5282771","GSM5282774","SA.IL22 sam15_L001","SA.IFNg sam21_L001",0.889626307418118,FALSE
"GSE173902","GSM5282772","GSM5282774","none.IFNg sam19_L001","SA.IFNg sam21_L001",0.907280368745413,FALSE
"GSE173902","GSM5282773","GSM5282774","SE.IFNg sam20_L001","SA.IFNg sam21_L001",0.908327007938665,FALSE
"GSE173902","GSM5282757","GSM5282775","none.none sam1_L001","none.none sam1_L002",0.936458269058552,TRUE
"GSE173902","GSM5282758","GSM5282775","SE.none sam2_L001","none.none sam1_L002",0.91060752064126,FALSE
"GSE173902","GSM5282759","GSM5282775","SA.none sam3_L001","none.none sam1_L002",0.910380642005907,FALSE
"GSE173902","GSM5282760","GSM5282775","none.IL4 sam4_L001","none.none sam1_L002",0.906838780869347,FALSE
"GSE173902","GSM5282761","GSM5282775","SE.IL4 sam5_L001","none.none sam1_L002",0.902384837682695,FALSE
"GSE173902","GSM5282762","GSM5282775","SA.IL4 sam6_L001","none.none sam1_L002",0.90451713336589,FALSE
"GSE173902","GSM5282763","GSM5282775","none.IL13 sam7_L001","none.none sam1_L002",0.904448703064123,FALSE
"GSE173902","GSM5282764","GSM5282775","SE.IL13 sam8_L001","none.none sam1_L002",0.902075470856624,FALSE
"GSE173902","GSM5282765","GSM5282775","SA.IL13 sam9_L001","none.none sam1_L002",0.899094092165711,FALSE
"GSE173902","GSM5282766","GSM5282775","none.IL4IL13 sam10_L001","none.none sam1_L002",0.905131989978289,FALSE
"GSE173902","GSM5282767","GSM5282775","SE.IL4IL13 sam11_L001","none.none sam1_L002",0.901111570918292,FALSE
"GSE173902","GSM5282768","GSM5282775","SA.IL4IL13 sam12_L001","none.none sam1_L002",0.901498851352169,FALSE
"GSE173902","GSM5282769","GSM5282775","none.IL22 sam13_L001","none.none sam1_L002",0.909883209871023,FALSE
"GSE173902","GSM5282770","GSM5282775","SE.IL22 sam14_L001","none.none sam1_L002",0.906664264519023,FALSE
"GSE173902","GSM5282771","GSM5282775","SA.IL22 sam15_L001","none.none sam1_L002",0.908826306310984,FALSE
"GSE173902","GSM5282772","GSM5282775","none.IFNg sam19_L001","none.none sam1_L002",0.893290287634197,FALSE
"GSE173902","GSM5282773","GSM5282775","SE.IFNg sam20_L001","none.none sam1_L002",0.88684078783143,FALSE
"GSE173902","GSM5282774","GSM5282775","SA.IFNg sam21_L001","none.none sam1_L002",0.887628270912489,FALSE
"GSE173902","GSM5282757","GSM5282776","none.none sam1_L001","SE.none sam2_L002",0.910471692107019,FALSE
"GSE173902","GSM5282758","GSM5282776","SE.none sam2_L001","SE.none sam2_L002",0.936135383442556,TRUE
"GSE173902","GSM5282759","GSM5282776","SA.none sam3_L001","SE.none sam2_L002",0.91050345979063,FALSE
"GSE173902","GSM5282760","GSM5282776","none.IL4 sam4_L001","SE.none sam2_L002",0.905470336025958,FALSE
"GSE173902","GSM5282761","GSM5282776","SE.IL4 sam5_L001","SE.none sam2_L002",0.90314215960315,FALSE
"GSE173902","GSM5282762","GSM5282776","SA.IL4 sam6_L001","SE.none sam2_L002",0.904027195617855,FALSE
"GSE173902","GSM5282763","GSM5282776","none.IL13 sam7_L001","SE.none sam2_L002",0.902445596004057,FALSE
"GSE173902","GSM5282764","GSM5282776","SE.IL13 sam8_L001","SE.none sam2_L002",0.903932924124905,FALSE
"GSE173902","GSM5282765","GSM5282776","SA.IL13 sam9_L001","SE.none sam2_L002",0.900402809034283,FALSE
"GSE173902","GSM5282766","GSM5282776","none.IL4IL13 sam10_L001","SE.none sam2_L002",0.902608859292357,FALSE
"GSE173902","GSM5282767","GSM5282776","SE.IL4IL13 sam11_L001","SE.none sam2_L002",0.902038584492555,FALSE
"GSE173902","GSM5282768","GSM5282776","SA.IL4IL13 sam12_L001","SE.none sam2_L002",0.900918182644908,FALSE
"GSE173902","GSM5282769","GSM5282776","none.IL22 sam13_L001","SE.none sam2_L002",0.904752991850682,FALSE
