"studio","ta","tb","r_pearson","r_spearman","stessa_libreria"
"GSE173902","SA.IL13 sam9_L001","none.IL22 sam13_L001",0.967698150402014,0.970581330051113,FALSE
"GSE173902","none.IL4IL13 sam10_L001","none.IL22 sam13_L001",0.975565509061337,0.977931967888342,FALSE
"GSE173902","SE.IL4IL13 sam11_L001","none.IL22 sam13_L001",0.968830916093513,0.971350637422736,FALSE
"GSE173902","SA.IL4IL13 sam12_L001","none.IL22 sam13_L001",0.968582684763551,0.971083811245212,FALSE
"GSE173902","none.none sam1_L001","SE.IL22 sam14_L001",0.977918736166668,0.979560022823015,FALSE
"GSE173902","SE.none sam2_L001","SE.IL22 sam14_L001",0.984066382213885,0.98515578819096,FALSE
"GSE173902","SA.none sam3_L001","SE.IL22 sam14_L001",0.989638170677395,0.991026570859537,FALSE
"GSE173902","none.IL4 sam4_L001","SE.IL22 sam14_L001",0.969977578136991,0.97238365893521,FALSE
"GSE173902","SE.IL4 sam5_L001","SE.IL22 sam14_L001",0.975487186766259,0.97763665902375,FALSE
"GSE173902","SA.IL4 sam6_L001","SE.IL22 sam14_L001",0.975637692623117,0.977601062784843,FALSE
"GSE173902","none.IL13 sam7_L001","SE.IL22 sam14_L001",0.96956214147221,0.971994163753312,FALSE
"GSE173902","SE.IL13 sam8_L001","SE.IL22 sam14_L001",0.974804139863475,0.976979713546437,FALSE
"GSE173902","SA.IL13 sam9_L001","SE.IL22 sam14_L001",0.974120032871325,0.976313150250457,FALSE
"GSE173902","none.IL4IL13 sam10_L001","SE.IL22 sam14_L001",0.968960718784848,0.971796043394893,FALSE
"GSE173902","SE.IL4IL13 sam11_L001","SE.IL22 sam14_L001",0.974734702041322,0.976837705403465,FALSE
"GSE173902","SA.IL4IL13 sam12_L001","SE.IL22 sam14_L001",0.97563647876236,0.977872354710906,FALSE
"GSE173902","none.IL22 sam13_L001","SE.IL22 sam14_L001",0.985178709441138,0.987423141555958,FALSE
"GSE173902","none.none sam1_L001","SA.IL22 sam15_L001",0.983155706137253,0.984628060605294,FALSE
"GSE173902","SE.none sam2_L001","SA.IL22 sam15_L001",0.987103910557956,0.988140413901289,FALSE
"GSE173902","SA.none sam3_L001","SA.IL22 sam15_L001",0.991399039919985,0.992431765199549,FALSE
"GSE173902","none.IL4 sam4_L001","SA.IL22 sam15_L001",0.972957689457385,0.974998252126873,FALSE
"GSE173902","SE.IL4 sam5_L001","SA.IL22 sam15_L001",0.975657748756686,0.977217698581144,FALSE
"GSE173902","SA.IL4 sam6_L001","SA.IL22 sam15_L001",0.977521624971528,0.979043753913753,FALSE
"GSE173902","none.IL13 sam7_L001","SA.IL22 sam15_L001",0.973917594763833,0.976091297971999,FALSE
"GSE173902","SE.IL13 sam8_L001","SA.IL22 sam15_L001",0.976611012174376,0.978296485452677,FALSE
"GSE173902","SA.IL13 sam9_L001","SA.IL22 sam15_L001",0.97739856544942,0.979407825630013,FALSE
"GSE173902","none.IL4IL13 sam10_L001","SA.IL22 sam15_L001",0.973307438636075,0.975268422638705,FALSE
