"cluster_id","n_treated","n_ricostruiti","n_entita_distinte","entita","n_label_distinte","scarti","k","canonical_name","kind_effective_resolved","agent_id_resolved"
"group_L1_7f286713",39,4,1,"MeSH:D000086382",35,"str_generico",5,"Mycobacterium tuberculosis","pathogen_or_aggregate_exposure","NCBITaxon:1773"
"group_L1_84844a95",5,4,0,"",5,"no_delta,str_generico",21,"Colorectal Neoplasms","disease_vs_normal","MeSH:D015179"
"group_L1_863ad5e6",10,6,3,"CHEBI:231601 | STR:adipor_wt | STR:h_be_k_mutant",10,"id_blacklist,no_delta,riga_genetica_asimmetrica",39,"Breast Neoplasms","disease_vs_normal","MeSH:D001943"
"group_L1_879c3e6b",17,10,1,"STR:active",17,"delta_multiclasse,entita_costante,riga_soggetto_diverso,str_generico",10,"cancer","disease_vs_normal","MeSH:D009369"
"group_L1_87d027e5",9,9,1,"MeSH:D011471",4,"no_entity,str_generico",5,"prostate cancer","disease_vs_normal","MeSH:D011471"
"group_L1_895cb734",2,1,1,"STR:non_lc",2,"",10,NA,"none","UNK"
"group_L1_a6c67cd6",2,2,2,"HGNC:10768 | STR:cu_rewire_fig_r",2,"",6,NA,"none","UNK"
"group_L1_a7758288",2,2,1,"STR:polya_mrna",2,"no_delta",8,NA,"none","UNK"
"group_L1_a7f52377",7,6,4,"STR:ha_yb | STR:hs_nrse_monocolon | STR:magi_ko | STR:mlph_ko",7,"controllo_non_valido,entita_costante",25,NA,"none","UNK"
"group_L1_b32f8fe8",3,3,1,"COMBO:hepb mo 7 5 8 5 13+placebo+tetanus mo 0",3,"",10,NA,"vehicle_only","UNK"
"group_L1_b3bd6b92",4,3,2,"HGNC:11110 | STR:nd_generation_mammospheres",4,"",19,"breast cancer","disease_vs_normal","MeSH:D001943"
"group_L1_b3fa0f9e",12,5,3,"STR:medulloblastoma_subgroup_shh | STR:second | STR:systemic",11,"entita_costante,no_delta",8,"cancer","disease_vs_normal","MeSH:D009369"
"group_L1_bae37d6c",2,2,0,"",2,"no_delta,no_entity",9,NA,"none","UNK"
"group_L1_be166699",2,2,1,"CHEBI:16411",2,"str_generico",21,NA,"vehicle_only","UNK"
"group_L1_ca655d5b",2,1,0,"",2,"str_generico",10,NA,"vehicle_only","UNK"
"group_L1_cd440424",48,12,4,"COMBO:02 sera+necrotic lysates | COMBO:necrotic lysates+sle 06 sera | COMBO:necrotic lysates+sle 22 sera | STR:sle_sera",40,"str_generico",6,"acute myeloid leukemia","environmental","MeSH:D015470"
"group_L1_d8b8767e",1,0,0,"",1,"",10,NA,"none","UNK"
"group_L1_dbd819eb",5,5,1,"STR:cycle",5,"no_delta,no_entity,str_generico",6,"Neoplasms","disease_vs_normal","MeSH:D009369"
"group_L1_dcf94fb6",1,1,1,"CHEBI:16330",1,"",27,NA,"vehicle_only","UNK"
"group_L1_e8344e2c",2,1,0,"",2,"str_generico",5,NA,"none","UNK"
"group_L1_ea4c768e",6,4,2,"CHEBI:81580 | STR:splice_del_expressed",5,"no_delta",13,"breast cancer","disease_vs_normal","MeSH:D001943"
"group_L1_f01926c7",17,2,1,"MeSH:D003922",11,"str_generico",6,"type 1 diabetes","disease_vs_normal","MeSH:D003922"
"group_L1_f3f94a1e",17,2,1,"MeSH:D001943",15,"",6,"breast cancer","disease_vs_normal","MeSH:D001943"
"group_L1_f8ba02f2",9,2,1,"STR:acute_rejection",8,"str_generico",7,"hepatocellular carcinoma","environmental","MeSH:D006528"
